date,track_artist,track_lp,track_new,track_pp,track_rank,track_title,track_weeks,GDPC1
2019-11-01,Lewis Capaldi,3.0,False,1.0,1,Someone You Loved,24.0,
2019-11-01,Lizzo,1.0,False,1.0,2,Truth Hurts,25.0,
2019-11-01,Shawn Mendes & Camila Cabello,2.0,False,1.0,3,Senorita,18.0,
2019-11-01,Post Malone,4.0,False,4.0,4,Circles,8.0,
2019-11-01,Chris Brown Featuring Drake,5.0,False,5.0,5,No Guidance,20.0,
2019-11-01,Lil Nas X,9.0,False,5.0,6,Panini,18.0,
2019-11-01,Travis Scott,6.0,False,1.0,7,HIGHEST IN THE ROOM,3.0,
2019-11-01,Lil Tecca,7.0,False,4.0,8,Ran$om,21.0,
2019-11-01,Billie Eilish,8.0,False,1.0,9,Bad Guy,30.0,
2019-11-01,Dan + Shay & Justin Bieber,11.0,False,4.0,10,"10,000 Hours",3.0,
2019-11-01,Maroon 5,12.0,False,11.0,11,Memories,5.0,
2019-11-01,Juice WRLD & YoungBoy Never Broke Again,10.0,False,10.0,12,Bandit,3.0,
2019-11-01,Ed Sheeran Featuring Khalid,14.0,False,13.0,13,Beautiful People,17.0,
2019-11-01,Lizzo,20.0,False,14.0,14,Good As Hell,9.0,
2019-11-01,Selena Gomez,0.0,True,15.0,15,Lose You To Love Me,1.0,
2019-11-01,Ed Sheeran & Justin Bieber,15.0,False,2.0,16,I Don't Care,24.0,
2019-11-01,Post Malone Featuring Young Thug,13.0,False,3.0,17,Goodbyes,16.0,
2019-11-01,Lil Nas X Featuring Billy Ray Cyrus,16.0,False,1.0,18,Old Town Road,34.0,
2019-11-01,SHAED,21.0,False,18.0,19,Trampoline,21.0,
2019-11-01,Jonas Brothers,24.0,False,20.0,20,Only Human,19.0,
2019-11-01,Post Malone & Swae Lee,19.0,False,1.0,21,Sunflower (Spider-Man: Into The Spider-Verse),53.0,
2019-11-01,Khalid,18.0,False,3.0,22,Talk,37.0,
2019-11-01,Jonas Brothers,23.0,False,1.0,23,Sucker,34.0,
2019-11-01,Wale Featuring Jeremih,22.0,False,22.0,24,On Chill,11.0,
2019-11-01,Drake Featuring Rick Ross,25.0,False,7.0,25,Money In The Grave,19.0,
2019-11-01,Summer Walker,26.0,False,16.0,26,Playing Games,8.0,
2019-11-01,Mustard & Roddy Ricch,30.0,False,27.0,27,Ballin',14.0,
2019-11-01,DaBaby,27.0,False,7.0,28,Suge,30.0,
2019-11-01,Sam Smith,28.0,False,24.0,29,How Do You Sleep?,14.0,
2019-11-01,Lil Baby & DaBaby,29.0,False,21.0,30,Baby,14.0,
2019-11-01,Young Thug Featuring Gunna,32.0,False,26.0,31,Hot,10.0,
2019-11-01,Old Dominion,45.0,False,32.0,32,One Man Band,9.0,
2019-11-01,Sam Smith & Normani,34.0,False,7.0,33,Dancing With A Stranger,41.0,
2019-11-01,Luke Combs,39.0,False,34.0,34,Even Though I'm Leaving,8.0,
2019-11-01,"Megan Thee Stallion, Nicki Minaj & Ty Dolla $ign",31.0,False,11.0,35,Hot Girl Summer,11.0,
2019-11-01,Marshmello & Kane Brown,38.0,False,36.0,36,One Thing Right,18.0,
2019-11-01,Taylor Swift,33.0,False,2.0,37,You Need To Calm Down,19.0,
2019-11-01,Taylor Swift,37.0,False,10.0,38,Lover,10.0,
2019-11-01,NLE Choppa,40.0,False,37.0,39,Camelot,6.0,
2019-11-01,Saweetie,35.0,False,21.0,40,My Type,17.0,
2019-11-01,Matt Stell,36.0,False,36.0,41,Prayed For You,12.0,
2019-11-01,NF,46.0,False,42.0,42,Time,14.0,
2019-11-01,Chris Brown Featuring Gunna,41.0,False,41.0,43,Heat,8.0,
2019-11-01,Halsey,43.0,False,43.0,44,Graveyard,6.0,
2019-11-01,YNW Melly & 9lokknine,42.0,False,34.0,45,223's,7.0,
2019-11-01,Post Malone,47.0,False,2.0,46,Wow.,44.0,
2019-11-01,YoungBoy Never Broke Again,44.0,False,44.0,47,Lonely Child,2.0,
2019-11-01,Chris Janson,48.0,False,48.0,48,Good Vibes,8.0,
2019-11-01,Cole Swindell,60.0,False,49.0,49,Love You Too Late,12.0,
2019-11-01,Selena Gomez,15.0,False,1.0,1,Lose You To Love Me,2.0,
2019-11-01,Lewis Capaldi,1.0,False,1.0,2,Someone You Loved,25.0,
2019-11-01,Post Malone,4.0,False,3.0,3,Circles,9.0,
2019-11-01,Shawn Mendes & Camila Cabello,3.0,False,1.0,4,Senorita,19.0,
2019-11-01,Lizzo,2.0,False,1.0,5,Truth Hurts,26.0,
2019-11-01,Lizzo,14.0,False,6.0,6,Good As Hell,10.0,
2019-11-01,Kanye West,0.0,True,7.0,7,Follow God,1.0,
2019-11-01,Chris Brown Featuring Drake,5.0,False,5.0,8,No Guidance,21.0,
2019-11-01,Lil Nas X,6.0,False,5.0,9,Panini,19.0,
2019-11-01,Billie Eilish,9.0,False,1.0,10,Bad Guy,31.0,
2019-11-01,Maroon 5,11.0,False,11.0,11,Memories,6.0,
2019-11-01,Dan + Shay & Justin Bieber,10.0,False,4.0,12,"10,000 Hours",4.0,
2019-11-01,Lil Tecca,8.0,False,4.0,13,Ran$om,22.0,
2019-11-01,Travis Scott,7.0,False,1.0,14,HIGHEST IN THE ROOM,4.0,
2019-11-01,Ed Sheeran Featuring Khalid,13.0,False,13.0,15,Beautiful People,18.0,
