date,track_artist,track_lp,track_new,track_pp,track_rank,track_title,track_weeks,GDP,rank_gain/loss,recession
2020Q1,Mariah Carey,1.0,0,1.0,1,All I Want For Christmas Is You,37.0,18951.992,0.0,0
2020Q1,Brenda Lee,2.0,0,2.0,2,Rockin' Around The Christmas Tree,32.0,18951.992,0.0,0
2020Q1,Bobby Helms,9.0,0,3.0,3,Jingle Bell Rock,30.0,18951.992,6.0,0
2020Q1,Burl Ives,6.0,0,4.0,4,A Holly Jolly Christmas,15.0,18951.992,2.0,0
2020Q1,Post Malone,3.0,0,1.0,5,Circles,17.0,18951.992,-2.0,0
2020Q1,Arizona Zervas,4.0,0,4.0,6,Roxanne,8.0,18951.992,-2.0,0
2020Q1,Andy Williams,15.0,0,7.0,7,It's The Most Wonderful Time Of The Year,15.0,18951.992,8.0,0
2020Q1,Lewis Capaldi,8.0,0,1.0,8,Someone You Loved,33.0,18951.992,0.0,0
2020Q1,Maroon 5,7.0,0,4.0,9,Memories,14.0,18951.992,-2.0,0
2020Q1,Lizzo,10.0,0,3.0,10,Good As Hell,18.0,18951.992,0.0,0
2020Q1,Wham!,17.0,0,11.0,11,Last Christmas,14.0,18951.992,6.0,0
2020Q1,Jose Feliciano,23.0,0,12.0,12,Feliz Navidad,9.0,18951.992,11.0,0
2020Q1,Roddy Ricch,18.0,0,13.0,13,The Box,3.0,18951.992,5.0,0
2020Q1,Tones And I,11.0,0,9.0,14,Dance Monkey,12.0,18951.992,-3.0,0
2020Q1,Dean Martin,28.0,0,15.0,15,"Let It Snow, Let It Snow, Let It Snow",8.0,18951.992,13.0,0
2020Q1,Nat King Cole,30.0,0,11.0,16,The Christmas Song (Merry Christmas To You),21.0,18951.992,14.0,0
2020Q1,Dan + Shay & Justin Bieber,13.0,0,4.0,17,"10,000 Hours",12.0,18951.992,-4.0,0
2020Q1,Selena Gomez,12.0,0,1.0,18,Lose You To Love Me,10.0,18951.992,-6.0,0
2020Q1,Mustard & Roddy Ricch,14.0,0,14.0,19,Ballin',23.0,18951.992,-5.0,0
2020Q1,DaBaby,16.0,0,11.0,20,BOP,13.0,18951.992,-4.0,0
2020Q1,The Ronettes,37.0,0,21.0,21,Sleigh Ride,7.0,18951.992,16.0,0
2020Q1,Gene Autry,36.0,0,16.0,22,Rudolph The Red-Nosed Reindeer,8.0,18951.992,14.0,0
2020Q1,Billie Eilish,25.0,0,1.0,23,Bad Guy,39.0,18951.992,2.0,0
2020Q1,Andy Williams,40.0,0,24.0,24,Happy Holiday / The Holiday Season,4.0,18951.992,16.0,0
2020Q1,Chris Brown Featuring Drake,20.0,0,5.0,25,No Guidance,29.0,18951.992,-5.0,0
2020Q1,Shawn Mendes & Camila Cabello,21.0,0,1.0,26,Senorita,27.0,18951.992,-5.0,0
2020Q1,Juice WRLD & YoungBoy Never Broke Again,19.0,0,10.0,27,Bandit,12.0,18951.992,-8.0,0
2020Q1,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,50.0,0,28.0,28,It's Beginning To Look A Lot Like Christmas,4.0,18951.992,22.0,0
2020Q1,Darlene Love,0.0,0,29.0,29,Christmas (Baby Please Come Home),3.0,18951.992,-29.0,0
2020Q1,Lil Nas X,29.0,0,5.0,30,Panini,27.0,18951.992,-1.0,0
2020Q1,Kelly Clarkson,0.0,0,31.0,31,Underneath The Tree,5.0,18951.992,-31.0,0
2020Q1,Gene Autry,47.0,0,28.0,32,Here Comes Santa Claus (Right Down Santa Claus Lane),6.0,18951.992,15.0,0
2020Q1,Young Thug Featuring Gunna,31.0,0,11.0,33,Hot,19.0,18951.992,-2.0,0
2020Q1,Lil Nas X Featuring Billy Ray Cyrus,41.0,0,1.0,34,Old Town Road,43.0,18951.992,7.0,0
2020Q1,Lizzo,32.0,0,1.0,35,Truth Hurts,34.0,18951.992,-3.0,0
2020Q1,Chuck Berry,0.0,0,36.0,36,Run Rudolph Run,5.0,18951.992,-36.0,0
2020Q1,Perry Como,0.0,0,32.0,37,(There's No Place Like) Home For The Holidays,3.0,18951.992,-37.0,0
2020Q1,Travis Scott,27.0,0,1.0,38,HIGHEST IN THE ROOM,12.0,18951.992,-11.0,0
2020Q1,The Weeknd,26.0,0,1.0,39,Heartless,5.0,18951.992,-13.0,0
2020Q1,Elvis Presley,0.0,0,40.0,40,Blue Christmas,2.0,18951.992,-40.0,0
2020Q1,Billie Eilish,34.0,0,8.0,41,Everything I Wanted,7.0,18951.992,-7.0,0
2020Q1,Bing Crosby,0.0,0,12.0,42,White Christmas,16.0,18951.992,-42.0,0
2020Q1,Frank Sinatra,0.0,0,43.0,43,Jingle Bells,2.0,18951.992,-43.0,0
2020Q1,Jonas Brothers,53.0,0,44.0,44,Like It's Christmas,4.0,18951.992,9.0,0
2020Q1,Dean Martin,0.0,1,45.0,45,Baby It's Cold Outside,1.0,18951.992,-45.0,0
2020Q1,SHAED,33.0,0,13.0,46,Trampoline,30.0,18951.992,-13.0,0
2020Q1,Lil Baby,35.0,0,16.0,47,Woah,7.0,18951.992,-12.0,0
2020Q1,Lil Uzi Vert,5.0,0,5.0,48,Futsal Shuffle 2020,2.0,18951.992,-43.0,0
2020Q1,Thurl Ravenscroft,0.0,1,49.0,49,"You're A Mean One, Mr. Grinch",1.0,18951.992,-49.0,0
2020Q1,Post Malone,5.0,0,1.0,1,Circles,18.0,18951.992,4.0,0
2020Q1,Maroon 5,9.0,0,2.0,2,Memories,15.0,18951.992,7.0,0
2020Q1,Roddy Ricch,13.0,0,3.0,3,The Box,4.0,18951.992,10.0,0
2020Q1,Lewis Capaldi,8.0,0,1.0,4,Someone You Loved,34.0,18951.992,4.0,0
2020Q1,Arizona Zervas,6.0,0,4.0,5,Roxanne,9.0,18951.992,1.0,0
2020Q1,Lizzo,10.0,0,3.0,6,Good As Hell,19.0,18951.992,4.0,0
2020Q1,Tones And I,14.0,0,7.0,7,Dance Monkey,13.0,18951.992,7.0,0
2020Q1,Travis Scott,38.0,0,1.0,8,HIGHEST IN THE ROOM,13.0,18951.992,30.0,0
2020Q1,Dan + Shay & Justin Bieber,17.0,0,4.0,9,"10,000 Hours",13.0,18951.992,8.0,0
2020Q1,Selena Gomez,18.0,0,1.0,10,Lose You To Love Me,11.0,18951.992,8.0,0
2020Q1,Shawn Mendes & Camila Cabello,26.0,0,1.0,11,Senorita,28.0,18951.992,15.0,0
2020Q1,Mustard & Roddy Ricch,19.0,0,12.0,12,Ballin',24.0,18951.992,7.0,0
2020Q1,DaBaby,20.0,0,11.0,13,BOP,14.0,18951.992,7.0,0
2020Q1,Billie Eilish,23.0,0,1.0,14,Bad Guy,40.0,18951.992,9.0,0
2020Q1,Lil Nas X Featuring Billy Ray Cyrus,34.0,0,1.0,15,Old Town Road,44.0,18951.992,19.0,0
2020Q1,Chris Brown Featuring Drake,25.0,0,5.0,16,No Guidance,30.0,18951.992,9.0,0
2020Q1,Lil Nas X,30.0,0,5.0,17,Panini,28.0,18951.992,13.0,0
2020Q1,Lizzo,35.0,0,1.0,18,Truth Hurts,35.0,18951.992,17.0,0
2020Q1,SHAED,46.0,0,13.0,19,Trampoline,31.0,18951.992,27.0,0
2020Q1,The Weeknd,39.0,0,1.0,20,Heartless,6.0,18951.992,19.0,0
2020Q1,Dua Lipa,52.0,0,21.0,21,Don't Start Now,9.0,18951.992,31.0,0
2020Q1,Juice WRLD & YoungBoy Never Broke Again,27.0,0,10.0,22,Bandit,13.0,18951.992,5.0,0
2020Q1,Billie Eilish,41.0,0,8.0,23,Everything I Wanted,8.0,18951.992,18.0,0
2020Q1,Young Thug Featuring Gunna,33.0,0,11.0,24,Hot,20.0,18951.992,9.0,0
2020Q1,Jonas Brothers,0.0,0,18.0,25,Only Human,28.0,18951.992,-25.0,0
2020Q1,Old Dominion,54.0,0,20.0,26,One Man Band,19.0,18951.992,28.0,0
2020Q1,Lil Baby,47.0,0,16.0,27,Woah,8.0,18951.992,20.0,0
2020Q1,Ed Sheeran & Justin Bieber,0.0,0,2.0,28,I Don't Care,31.0,18951.992,-28.0,0
2020Q1,Jonas Brothers,0.0,0,1.0,29,Sucker,39.0,18951.992,-29.0,0
2020Q1,Luke Combs,59.0,0,11.0,30,Even Though I'm Leaving,18.0,18951.992,29.0,0
2020Q1,Trevor Daniel,51.0,0,31.0,31,Falling,7.0,18951.992,20.0,0
2020Q1,blackbear,55.0,0,32.0,32,Hot Girl Bummer,16.0,18951.992,23.0,0
2020Q1,Lil Tecca,50.0,0,4.0,33,Ran$om,31.0,18951.992,17.0,0
2020Q1,Taylor Swift,57.0,0,10.0,34,Lover,20.0,18951.992,23.0,0
2020Q1,Harry Styles,53.0,0,24.0,35,Adore You,4.0,18951.992,18.0,0
2020Q1,Maren Morris,64.0,0,36.0,36,The Bones,15.0,18951.992,28.0,0
2020Q1,Halsey,61.0,0,34.0,37,Graveyard,16.0,18951.992,24.0,0
2020Q1,JACKBOYS Featuring Young Thug,0.0,1,38.0,38,Out West,1.0,18951.992,-38.0,0
2020Q1,Wale Featuring Jeremih,58.0,0,22.0,39,On Chill,21.0,18951.992,19.0,0
2020Q1,Khalid,0.0,0,3.0,40,Talk,44.0,18951.992,-40.0,0
2020Q1,YNW Melly & Juice WRLD,56.0,0,41.0,41,Suicidal,6.0,18951.992,15.0,0
2020Q1,Ed Sheeran Featuring Khalid,0.0,0,13.0,42,Beautiful People,25.0,18951.992,-42.0,0
2020Q1,DaBaby,0.0,0,7.0,43,Suge,36.0,18951.992,-43.0,0
2020Q1,Lil Uzi Vert,48.0,0,5.0,44,Futsal Shuffle 2020,3.0,18951.992,4.0,0
2020Q1,Doja Cat & Tyga,63.0,0,45.0,45,Juicy,10.0,18951.992,18.0,0
2020Q1,Don Toliver,60.0,0,43.0,46,No Idea,5.0,18951.992,14.0,0
2020Q1,Lil Baby & DaBaby,0.0,0,21.0,47,Baby,21.0,18951.992,-47.0,0
2020Q1,JACKBOYS & Sheck Wes,0.0,1,48.0,48,GANG GANG,1.0,18951.992,-48.0,0
2020Q1,Lady Antebellum,71.0,0,47.0,49,What If I Never Get Over You,19.0,18951.992,22.0,0
2020Q1,Roddy Ricch,3.0,0,1.0,1,The Box,5.0,18951.992,2.0,0
2020Q1,Justin Bieber,0.0,1,2.0,2,Yummy,1.0,18951.992,-2.0,0
2020Q1,Post Malone,1.0,0,1.0,3,Circles,19.0,18951.992,-2.0,0
2020Q1,Maroon 5,2.0,0,2.0,4,Memories,16.0,18951.992,-2.0,0
2020Q1,Dan + Shay & Justin Bieber,9.0,0,4.0,5,"10,000 Hours",14.0,18951.992,4.0,0
2020Q1,Lewis Capaldi,4.0,0,1.0,6,Someone You Loved,35.0,18951.992,-2.0,0
2020Q1,Tones And I,7.0,0,7.0,7,Dance Monkey,14.0,18951.992,0.0,0
2020Q1,Lizzo,6.0,0,3.0,8,Good As Hell,20.0,18951.992,-2.0,0
2020Q1,Arizona Zervas,5.0,0,4.0,9,Roxanne,10.0,18951.992,-4.0,0
2020Q1,Selena Gomez,10.0,0,1.0,10,Lose You To Love Me,12.0,18951.992,0.0,0
2020Q1,Mustard & Roddy Ricch,12.0,0,11.0,11,Ballin',25.0,18951.992,1.0,0
2020Q1,DaBaby,13.0,0,11.0,12,BOP,15.0,18951.992,1.0,0
2020Q1,Travis Scott,8.0,0,1.0,13,HIGHEST IN THE ROOM,14.0,18951.992,-5.0,0
2020Q1,Dua Lipa,21.0,0,14.0,14,Don't Start Now,10.0,18951.992,7.0,0
2020Q1,Chris Brown Featuring Drake,16.0,0,5.0,15,No Guidance,31.0,18951.992,1.0,0
2020Q1,SHAED,19.0,0,13.0,16,Trampoline,32.0,18951.992,3.0,0
2020Q1,The Weeknd,20.0,0,1.0,17,Heartless,7.0,18951.992,3.0,0
2020Q1,Shawn Mendes & Camila Cabello,11.0,0,1.0,18,Senorita,29.0,18951.992,-7.0,0
2020Q1,Billie Eilish,23.0,0,8.0,19,Everything I Wanted,9.0,18951.992,4.0,0
2020Q1,Lizzo,18.0,0,1.0,20,Truth Hurts,36.0,18951.992,-2.0,0
2020Q1,Young Thug Featuring Gunna,24.0,0,11.0,21,Hot,21.0,18951.992,3.0,0
2020Q1,Lil Baby,27.0,0,16.0,22,Woah,9.0,18951.992,5.0,0
2020Q1,Lil Nas X,17.0,0,5.0,23,Panini,29.0,18951.992,-6.0,0
2020Q1,Harry Styles,35.0,0,24.0,24,Adore You,5.0,18951.992,11.0,0
2020Q1,Jonas Brothers,25.0,0,18.0,25,Only Human,29.0,18951.992,0.0,0
2020Q1,Maren Morris,36.0,0,26.0,26,The Bones,16.0,18951.992,10.0,0
2020Q1,Old Dominion,26.0,0,20.0,27,One Man Band,20.0,18951.992,-1.0,0
2020Q1,Juice WRLD & YoungBoy Never Broke Again,22.0,0,10.0,28,Bandit,14.0,18951.992,-6.0,0
2020Q1,blackbear,32.0,0,29.0,29,Hot Girl Bummer,17.0,18951.992,3.0,0
2020Q1,Lil Uzi Vert,44.0,0,5.0,30,Futsal Shuffle 2020,4.0,18951.992,14.0,0
2020Q1,Luke Combs,30.0,0,11.0,31,Even Though I'm Leaving,19.0,18951.992,-1.0,0
2020Q1,Ed Sheeran & Justin Bieber,28.0,0,2.0,32,I Don't Care,32.0,18951.992,-4.0,0
2020Q1,Billie Eilish,14.0,0,1.0,33,Bad Guy,41.0,18951.992,-19.0,0
2020Q1,Jonas Brothers,29.0,0,1.0,34,Sucker,40.0,18951.992,-5.0,0
2020Q1,Roddy Ricch Featuring Mustard,70.0,0,35.0,35,High Fashion,2.0,18951.992,35.0,0
2020Q1,Taylor Swift,34.0,0,10.0,36,Lover,21.0,18951.992,-2.0,0
2020Q1,Wale Featuring Jeremih,39.0,0,22.0,37,On Chill,22.0,18951.992,2.0,0
2020Q1,Trevor Daniel,31.0,0,31.0,38,Falling,8.0,18951.992,-7.0,0
2020Q1,The Weeknd,59.0,0,11.0,39,Blinding Lights,6.0,18951.992,20.0,0
2020Q1,Lady Antebellum,49.0,0,40.0,40,What If I Never Get Over You,20.0,18951.992,9.0,0
2020Q1,YNW Melly & Juice WRLD,41.0,0,41.0,41,Suicidal,7.0,18951.992,0.0,0
2020Q1,Khalid,40.0,0,3.0,42,Talk,45.0,18951.992,-2.0,0
2020Q1,Halsey,37.0,0,34.0,43,Graveyard,17.0,18951.992,-6.0,0
2020Q1,Camila Cabello Featuring DaBaby,50.0,0,44.0,44,My Oh My,5.0,18951.992,6.0,0
2020Q1,Ed Sheeran Featuring Khalid,42.0,0,13.0,45,Beautiful People,26.0,18951.992,-3.0,0
2020Q1,Lil Nas X Featuring Billy Ray Cyrus,15.0,0,1.0,46,Old Town Road,45.0,18951.992,-31.0,0
2020Q1,Dustin Lynch,51.0,0,47.0,47,Ridin' Roads,10.0,18951.992,4.0,0
2020Q1,Doja Cat & Tyga,45.0,0,45.0,48,Juicy,11.0,18951.992,-3.0,0
2020Q1,Summer Walker,54.0,0,16.0,49,Playing Games,19.0,18951.992,5.0,0
2020Q1,Roddy Ricch,1.0,0,1.0,1,The Box,6.0,18951.992,0.0,0
2020Q1,Future Featuring Drake,0.0,1,2.0,2,Life Is Good,1.0,18951.992,-2.0,0
2020Q1,Post Malone,3.0,0,1.0,3,Circles,20.0,18951.992,0.0,0
2020Q1,Maroon 5,4.0,0,2.0,4,Memories,17.0,18951.992,0.0,0
2020Q1,Selena Gomez,10.0,0,1.0,5,Lose You To Love Me,13.0,18951.992,5.0,0
2020Q1,Lewis Capaldi,6.0,0,1.0,6,Someone You Loved,36.0,18951.992,0.0,0
2020Q1,Dan + Shay & Justin Bieber,5.0,0,4.0,7,"10,000 Hours",15.0,18951.992,-2.0,0
2020Q1,Tones And I,7.0,0,7.0,8,Dance Monkey,15.0,18951.992,-1.0,0
2020Q1,Arizona Zervas,9.0,0,4.0,9,Roxanne,11.0,18951.992,0.0,0
2020Q1,Justin Bieber,2.0,0,2.0,10,Yummy,2.0,18951.992,-8.0,0
2020Q1,Lizzo,8.0,0,3.0,11,Good As Hell,21.0,18951.992,-3.0,0
2020Q1,DaBaby,12.0,0,11.0,12,BOP,16.0,18951.992,0.0,0
2020Q1,Mustard & Roddy Ricch,11.0,0,11.0,13,Ballin',26.0,18951.992,-2.0,0
2020Q1,Dua Lipa,14.0,0,14.0,14,Don't Start Now,11.0,18951.992,0.0,0
2020Q1,Travis Scott,13.0,0,1.0,15,HIGHEST IN THE ROOM,15.0,18951.992,-2.0,0
2020Q1,Lil Baby,0.0,1,16.0,16,Sum 2 Prove,1.0,18951.992,-16.0,0
2020Q1,Mac Miller,0.0,1,17.0,17,Good News,1.0,18951.992,-17.0,0
2020Q1,The Weeknd,17.0,0,1.0,18,Heartless,8.0,18951.992,-1.0,0
2020Q1,Chris Brown Featuring Drake,15.0,0,5.0,19,No Guidance,32.0,18951.992,-4.0,0
2020Q1,SHAED,16.0,0,13.0,20,Trampoline,33.0,18951.992,-4.0,0
2020Q1,Lil Baby,22.0,0,16.0,21,Woah,10.0,18951.992,1.0,0
2020Q1,Billie Eilish,19.0,0,8.0,22,Everything I Wanted,10.0,18951.992,-3.0,0
2020Q1,Maren Morris,26.0,0,23.0,23,The Bones,17.0,18951.992,3.0,0
2020Q1,Shawn Mendes & Camila Cabello,18.0,0,1.0,24,Senorita,30.0,18951.992,-6.0,0
2020Q1,blackbear,29.0,0,25.0,25,Hot Girl Bummer,18.0,18951.992,4.0,0
2020Q1,Harry Styles,24.0,0,24.0,26,Adore You,6.0,18951.992,-2.0,0
2020Q1,Roddy Ricch Featuring Mustard,35.0,0,27.0,27,High Fashion,3.0,18951.992,8.0,0
2020Q1,Lil Nas X,23.0,0,5.0,28,Panini,30.0,18951.992,-5.0,0
2020Q1,Halsey,0.0,1,29.0,29,You Should Be Sad,1.0,18951.992,-29.0,0
2020Q1,Selena Gomez,0.0,1,30.0,30,Rare,1.0,18951.992,-30.0,0
2020Q1,Young Thug Featuring Gunna,21.0,0,11.0,31,Hot,22.0,18951.992,-10.0,0
2020Q1,The Weeknd,39.0,0,11.0,32,Blinding Lights,7.0,18951.992,7.0,0
2020Q1,Lizzo,20.0,0,1.0,33,Truth Hurts,37.0,18951.992,-13.0,0
2020Q1,Jonas Brothers,25.0,0,18.0,34,Only Human,30.0,18951.992,-9.0,0
2020Q1,Juice WRLD & YoungBoy Never Broke Again,28.0,0,10.0,35,Bandit,15.0,18951.992,-7.0,0
