index,SongID,Artist,Title,spotify_genre,spotify_track_id,spotify_track_preview_url,spotify_track_duration_ms,spotify_track_explicit,spotify_track_album,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,spotify_track_popularity,url,Week Position,Instance,Previous Week Position,Peak Position,Weeks on Chart,GDP,rank_gain/loss,recession,SongID,Artist,Title,spotify_genre,spotify_track_id,spotify_track_preview_url,spotify_track_duration_ms,spotify_track_explicit,spotify_track_album,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,spotify_track_popularity,url,Week Position,Instance,Previous Week Position,Peak Position,Weeks on Chart,GDP,rank_gain/loss,recession
0,(If There Was) Any Other WayCeline Dion,Celine Dion,(If There Was) Any Other Way,"'canadian pop', 'dance pop'",5yh5RqpOXYN3iiJe07mNNf,https://p.scdn.co/mp3-preview/e83a3577c394cf3cdf6454ce84928b465a6d902d?cid=b8d3901151d34489a160e3cf0ab1fa94,240093.0,0.0,Unison,0.671,0.784,7.0,-8.672,0.0,0.0322,0.239,3.6e-06,0.139,0.904,124.013,4.0,28.0,http://www.billboard.com/charts/hot-100/1991-05-25,41.0,1.0,43.0,41.0,8.0,9347.597,2.0,0,...Baby One More TimeBritney Spears,Britney Spears,...Baby One More Time,"'dance pop', 'pop', 'post-teen pop'",3MjUtNVVq3C8Fn0MP3zhXa,https://p.scdn.co/mp3-preview/da2134a161f1cb34d17c2d6d7e77cc93d1c1e6f7?cid=b8d3901151d34489a160e3cf0ab1fa94,211066.0,0.0,...Baby One More Time (Digital Deluxe Version),0.759,0.699,0.0,-5.745,0.0,0.0307,0.202,0.000131,0.443,0.907,92.96,4.0,77.0,http://www.billboard.com/charts/hot-100/1998-11-28,14.0,1.0,17.0,14.0,2.0,12294.737,3.0,0
1,(If There Was) Any Other WayCeline Dion,Celine Dion,(If There Was) Any Other Way,"'canadian pop', 'dance pop'",5yh5RqpOXYN3iiJe07mNNf,https://p.scdn.co/mp3-preview/e83a3577c394cf3cdf6454ce84928b465a6d902d?cid=b8d3901151d34489a160e3cf0ab1fa94,240093.0,0.0,Unison,0.671,0.784,7.0,-8.672,0.0,0.0322,0.239,3.6e-06,0.139,0.904,124.013,4.0,28.0,http://www.billboard.com/charts/hot-100/1991-04-20,62.0,1.0,70.0,62.0,3.0,9347.597,8.0,0,...Baby One More TimeBritney Spears,Britney Spears,...Baby One More Time,"'dance pop', 'pop', 'post-teen pop'",3MjUtNVVq3C8Fn0MP3zhXa,https://p.scdn.co/mp3-preview/da2134a161f1cb34d17c2d6d7e77cc93d1c1e6f7?cid=b8d3901151d34489a160e3cf0ab1fa94,211066.0,0.0,...Baby One More Time (Digital Deluxe Version),0.759,0.699,0.0,-5.745,0.0,0.0307,0.202,0.000131,0.443,0.907,92.96,4.0,77.0,http://www.billboard.com/charts/hot-100/1998-12-05,18.0,1.0,14.0,14.0,3.0,12294.737,-4.0,0
2,(If There Was) Any Other WayCeline Dion,Celine Dion,(If There Was) Any Other Way,"'canadian pop', 'dance pop'",5yh5RqpOXYN3iiJe07mNNf,https://p.scdn.co/mp3-preview/e83a3577c394cf3cdf6454ce84928b465a6d902d?cid=b8d3901151d34489a160e3cf0ab1fa94,240093.0,0.0,Unison,0.671,0.784,7.0,-8.672,0.0,0.0322,0.239,3.6e-06,0.139,0.904,124.013,4.0,28.0,http://www.billboard.com/charts/hot-100/1991-06-01,35.0,1.0,41.0,35.0,9.0,9347.597,6.0,0,...Baby One More TimeBritney Spears,Britney Spears,...Baby One More Time,"'dance pop', 'pop', 'post-teen pop'",3MjUtNVVq3C8Fn0MP3zhXa,https://p.scdn.co/mp3-preview/da2134a161f1cb34d17c2d6d7e77cc93d1c1e6f7?cid=b8d3901151d34489a160e3cf0ab1fa94,211066.0,0.0,...Baby One More Time (Digital Deluxe Version),0.759,0.699,0.0,-5.745,0.0,0.0307,0.202,0.000131,0.443,0.907,92.96,4.0,77.0,http://www.billboard.com/charts/hot-100/1998-12-12,9.0,1.0,18.0,9.0,4.0,12294.737,9.0,0
3,(If There Was) Any Other WayCeline Dion,Celine Dion,(If There Was) Any Other Way,"'canadian pop', 'dance pop'",5yh5RqpOXYN3iiJe07mNNf,https://p.scdn.co/mp3-preview/e83a3577c394cf3cdf6454ce84928b465a6d902d?cid=b8d3901151d34489a160e3cf0ab1fa94,240093.0,0.0,Unison,0.671,0.784,7.0,-8.672,0.0,0.0322,0.239,3.6e-06,0.139,0.904,124.013,4.0,28.0,http://www.billboard.com/charts/hot-100/1991-04-13,70.0,1.0,84.0,70.0,2.0,9347.597,14.0,0,...Baby One More TimeBritney Spears,Britney Spears,...Baby One More Time,"'dance pop', 'pop', 'post-teen pop'",3MjUtNVVq3C8Fn0MP3zhXa,https://p.scdn.co/mp3-preview/da2134a161f1cb34d17c2d6d7e77cc93d1c1e6f7?cid=b8d3901151d34489a160e3cf0ab1fa94,211066.0,0.0,...Baby One More Time (Digital Deluxe Version),0.759,0.699,0.0,-5.745,0.0,0.0307,0.202,0.000131,0.443,0.907,92.96,4.0,77.0,http://www.billboard.com/charts/hot-100/1999-01-16,4.0,1.0,4.0,4.0,9.0,12410.778,0.0,0
4,(If There Was) Any Other WayCeline Dion,Celine Dion,(If There Was) Any Other Way,"'canadian pop', 'dance pop'",5yh5RqpOXYN3iiJe07mNNf,https://p.scdn.co/mp3-preview/e83a3577c394cf3cdf6454ce84928b465a6d902d?cid=b8d3901151d34489a160e3cf0ab1fa94,240093.0,0.0,Unison,0.671,0.784,7.0,-8.672,0.0,0.0322,0.239,3.6e-06,0.139,0.904,124.013,4.0,28.0,http://www.billboard.com/charts/hot-100/1991-06-08,41.0,1.0,35.0,35.0,10.0,9347.597,-6.0,0,...Baby One More TimeBritney Spears,Britney Spears,...Baby One More Time,"'dance pop', 'pop', 'post-teen pop'",3MjUtNVVq3C8Fn0MP3zhXa,https://p.scdn.co/mp3-preview/da2134a161f1cb34d17c2d6d7e77cc93d1c1e6f7?cid=b8d3901151d34489a160e3cf0ab1fa94,211066.0,0.0,...Baby One More Time (Digital Deluxe Version),0.759,0.699,0.0,-5.745,0.0,0.0307,0.202,0.000131,0.443,0.907,92.96,4.0,77.0,http://www.billboard.com/charts/hot-100/1999-01-23,3.0,1.0,4.0,3.0,10.0,12410.778,1.0,0
5,(If There Was) Any Other WayCeline Dion,Celine Dion,(If There Was) Any Other Way,"'canadian pop', 'dance pop'",5yh5RqpOXYN3iiJe07mNNf,https://p.scdn.co/mp3-preview/e83a3577c394cf3cdf6454ce84928b465a6d902d?cid=b8d3901151d34489a160e3cf0ab1fa94,240093.0,0.0,Unison,0.671,0.784,7.0,-8.672,0.0,0.0322,0.239,3.6e-06,0.139,0.904,124.013,4.0,28.0,http://www.billboard.com/charts/hot-100/1991-06-15,57.0,1.0,41.0,35.0,11.0,9347.597,-16.0,0,...Baby One More TimeBritney Spears,Britney Spears,...Baby One More Time,"'dance pop', 'pop', 'post-teen pop'",3MjUtNVVq3C8Fn0MP3zhXa,https://p.scdn.co/mp3-preview/da2134a161f1cb34d17c2d6d7e77cc93d1c1e6f7?cid=b8d3901151d34489a160e3cf0ab1fa94,211066.0,0.0,...Baby One More Time (Digital Deluxe Version),0.759,0.699,0.0,-5.745,0.0,0.0307,0.202,0.000131,0.443,0.907,92.96,4.0,77.0,http://www.billboard.com/charts/hot-100/1999-01-30,1.0,1.0,3.0,1.0,11.0,12410.778,2.0,0
6,(If There Was) Any Other WayCeline Dion,Celine Dion,(If There Was) Any Other Way,"'canadian pop', 'dance pop'",5yh5RqpOXYN3iiJe07mNNf,https://p.scdn.co/mp3-preview/e83a3577c394cf3cdf6454ce84928b465a6d902d?cid=b8d3901151d34489a160e3cf0ab1fa94,240093.0,0.0,Unison,0.671,0.784,7.0,-8.672,0.0,0.0322,0.239,3.6e-06,0.139,0.904,124.013,4.0,28.0,http://www.billboard.com/charts/hot-100/1991-05-04,50.0,1.0,52.0,50.0,5.0,9347.597,2.0,0,...Baby One More TimeBritney Spears,Britney Spears,...Baby One More Time,"'dance pop', 'pop', 'post-teen pop'",3MjUtNVVq3C8Fn0MP3zhXa,https://p.scdn.co/mp3-preview/da2134a161f1cb34d17c2d6d7e77cc93d1c1e6f7?cid=b8d3901151d34489a160e3cf0ab1fa94,211066.0,0.0,...Baby One More Time (Digital Deluxe Version),0.759,0.699,0.0,-5.745,0.0,0.0307,0.202,0.000131,0.443,0.907,92.96,4.0,77.0,http://www.billboard.com/charts/hot-100/1998-12-19,8.0,1.0,9.0,8.0,5.0,12294.737,1.0,0
7,(If There Was) Any Other WayCeline Dion,Celine Dion,(If There Was) Any Other Way,"'canadian pop', 'dance pop'",5yh5RqpOXYN3iiJe07mNNf,https://p.scdn.co/mp3-preview/e83a3577c394cf3cdf6454ce84928b465a6d902d?cid=b8d3901151d34489a160e3cf0ab1fa94,240093.0,0.0,Unison,0.671,0.784,7.0,-8.672,0.0,0.0322,0.239,3.6e-06,0.139,0.904,124.013,4.0,28.0,http://www.billboard.com/charts/hot-100/1991-04-27,52.0,1.0,62.0,52.0,4.0,9347.597,10.0,0,...Baby One More TimeBritney Spears,Britney Spears,...Baby One More Time,"'dance pop', 'pop', 'post-teen pop'",3MjUtNVVq3C8Fn0MP3zhXa,https://p.scdn.co/mp3-preview/da2134a161f1cb34d17c2d6d7e77cc93d1c1e6f7?cid=b8d3901151d34489a160e3cf0ab1fa94,211066.0,0.0,...Baby One More Time (Digital Deluxe Version),0.759,0.699,0.0,-5.745,0.0,0.0307,0.202,0.000131,0.443,0.907,92.96,4.0,77.0,http://www.billboard.com/charts/hot-100/1999-01-02,4.0,1.0,5.0,4.0,7.0,12410.778,1.0,0
8,(If There Was) Any Other WayCeline Dion,Celine Dion,(If There Was) Any Other Way,"'canadian pop', 'dance pop'",5yh5RqpOXYN3iiJe07mNNf,https://p.scdn.co/mp3-preview/e83a3577c394cf3cdf6454ce84928b465a6d902d?cid=b8d3901151d34489a160e3cf0ab1fa94,240093.0,0.0,Unison,0.671,0.784,7.0,-8.672,0.0,0.0322,0.239,3.6e-06,0.139,0.904,124.013,4.0,28.0,http://www.billboard.com/charts/hot-100/1991-05-18,43.0,1.0,48.0,43.0,7.0,9347.597,5.0,0,...Baby One More TimeBritney Spears,Britney Spears,...Baby One More Time,"'dance pop', 'pop', 'post-teen pop'",3MjUtNVVq3C8Fn0MP3zhXa,https://p.scdn.co/mp3-preview/da2134a161f1cb34d17c2d6d7e77cc93d1c1e6f7?cid=b8d3901151d34489a160e3cf0ab1fa94,211066.0,0.0,...Baby One More Time (Digital Deluxe Version),0.759,0.699,0.0,-5.745,0.0,0.0307,0.202,0.000131,0.443,0.907,92.96,4.0,77.0,http://www.billboard.com/charts/hot-100/1998-12-26,5.0,1.0,8.0,5.0,6.0,12294.737,3.0,0
9,(If There Was) Any Other WayCeline Dion,Celine Dion,(If There Was) Any Other Way,"'canadian pop', 'dance pop'",5yh5RqpOXYN3iiJe07mNNf,https://p.scdn.co/mp3-preview/e83a3577c394cf3cdf6454ce84928b465a6d902d?cid=b8d3901151d34489a160e3cf0ab1fa94,240093.0,0.0,Unison,0.671,0.784,7.0,-8.672,0.0,0.0322,0.239,3.6e-06,0.139,0.904,124.013,4.0,28.0,http://www.billboard.com/charts/hot-100/1991-05-11,48.0,1.0,50.0,48.0,6.0,9347.597,2.0,0,...Baby One More TimeBritney Spears,Britney Spears,...Baby One More Time,"'dance pop', 'pop', 'post-teen pop'",3MjUtNVVq3C8Fn0MP3zhXa,https://p.scdn.co/mp3-preview/da2134a161f1cb34d17c2d6d7e77cc93d1c1e6f7?cid=b8d3901151d34489a160e3cf0ab1fa94,211066.0,0.0,...Baby One More Time (Digital Deluxe Version),0.759,0.699,0.0,-5.745,0.0,0.0307,0.202,0.000131,0.443,0.907,92.96,4.0,77.0,http://www.billboard.com/charts/hot-100/1999-01-09,4.0,1.0,4.0,4.0,8.0,12410.778,0.0,0
