SongID,Artist,Title,spotify_genre,spotify_track_id,spotify_track_preview_url,spotify_track_duration_ms,spotify_track_explicit,spotify_track_album,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,spotify_track_popularity,url,WeekID,Week Position,Instance,Previous Week Position,Peak Position,Weeks on Chart,GDP,rank_gain/loss,recession
(Don't Worry) If There's A Hell Below We're All Going To GoCurtis Mayfield,Curtis Mayfield,(Don't Worry) If There's A Hell Below We're All Going To Go,"'chicago soul', 'classic soul', 'disco', 'funk', 'soul'",5RlUTWYlTeE1JiyudvnlAU,https://p.scdn.co/mp3-preview/69225e38740b2674debe0f5d231b1b1ec2cd40e7?cid=b8d3901151d34489a160e3cf0ab1fa94,470506.0,0.0,Move On Up,0.686,0.755,1.0,-8.304,0.0,0.0488,0.149,0.063,0.111,0.686,119.895,4.0,15.0,http://www.billboard.com/charts/hot-100/1971-01-09,1971Q1,30.0,1.0,34.0,30.0,8.0,5072.996,4.0,0
(Don't Worry) If There's A Hell Below We're All Going To GoCurtis Mayfield,Curtis Mayfield,(Don't Worry) If There's A Hell Below We're All Going To Go,"'chicago soul', 'classic soul', 'disco', 'funk', 'soul'",5RlUTWYlTeE1JiyudvnlAU,https://p.scdn.co/mp3-preview/69225e38740b2674debe0f5d231b1b1ec2cd40e7?cid=b8d3901151d34489a160e3cf0ab1fa94,470506.0,0.0,Move On Up,0.686,0.755,1.0,-8.304,0.0,0.0488,0.149,0.063,0.111,0.686,119.895,4.0,15.0,http://www.billboard.com/charts/hot-100/1971-01-16,1971Q1,29.0,1.0,30.0,29.0,9.0,5072.996,1.0,0
(Don't Worry) If There's A Hell Below We're All Going To GoCurtis Mayfield,Curtis Mayfield,(Don't Worry) If There's A Hell Below We're All Going To Go,"'chicago soul', 'classic soul', 'disco', 'funk', 'soul'",5RlUTWYlTeE1JiyudvnlAU,https://p.scdn.co/mp3-preview/69225e38740b2674debe0f5d231b1b1ec2cd40e7?cid=b8d3901151d34489a160e3cf0ab1fa94,470506.0,0.0,Move On Up,0.686,0.755,1.0,-8.304,0.0,0.0488,0.149,0.063,0.111,0.686,119.895,4.0,15.0,http://www.billboard.com/charts/hot-100/1971-01-23,1971Q1,37.0,1.0,29.0,29.0,10.0,5072.996,-8.0,0
(Don't Worry) If There's A Hell Below We're All Going To GoCurtis Mayfield,Curtis Mayfield,(Don't Worry) If There's A Hell Below We're All Going To Go,"'chicago soul', 'classic soul', 'disco', 'funk', 'soul'",5RlUTWYlTeE1JiyudvnlAU,https://p.scdn.co/mp3-preview/69225e38740b2674debe0f5d231b1b1ec2cd40e7?cid=b8d3901151d34489a160e3cf0ab1fa94,470506.0,0.0,Move On Up,0.686,0.755,1.0,-8.304,0.0,0.0488,0.149,0.063,0.111,0.686,119.895,4.0,15.0,http://www.billboard.com/charts/hot-100/1971-01-30,1971Q1,53.0,1.0,37.0,29.0,11.0,5072.996,-16.0,0
(Don't Worry) If There's A Hell Below We're All Going To GoCurtis Mayfield,Curtis Mayfield,(Don't Worry) If There's A Hell Below We're All Going To Go,"'chicago soul', 'classic soul', 'disco', 'funk', 'soul'",5RlUTWYlTeE1JiyudvnlAU,https://p.scdn.co/mp3-preview/69225e38740b2674debe0f5d231b1b1ec2cd40e7?cid=b8d3901151d34489a160e3cf0ab1fa94,470506.0,0.0,Move On Up,0.686,0.755,1.0,-8.304,0.0,0.0488,0.149,0.063,0.111,0.686,119.895,4.0,15.0,http://www.billboard.com/charts/hot-100/1971-01-02,1971Q1,34.0,1.0,48.0,34.0,7.0,5072.996,14.0,0
(Don't Worry) If There's A Hell Below We're All Going To GoCurtis Mayfield,Curtis Mayfield,(Don't Worry) If There's A Hell Below We're All Going To Go,"'chicago soul', 'classic soul', 'disco', 'funk', 'soul'",5RlUTWYlTeE1JiyudvnlAU,https://p.scdn.co/mp3-preview/69225e38740b2674debe0f5d231b1b1ec2cd40e7?cid=b8d3901151d34489a160e3cf0ab1fa94,470506.0,0.0,Move On Up,0.686,0.755,1.0,-8.304,0.0,0.0488,0.149,0.063,0.111,0.686,119.895,4.0,15.0,http://www.billboard.com/charts/hot-100/1971-02-06,1971Q1,53.0,1.0,53.0,29.0,12.0,5072.996,0.0,0
(For God's Sake) Give More Power To The PeopleThe Chi-lites,The Chi-lites,(For God's Sake) Give More Power To The People,"'chicago soul', 'classic soul', 'disco', 'funk', 'motown', 'quiet storm', 'soul', 'southern soul'",0dVabf3Sm1uHODq1vz2Lts,https://p.scdn.co/mp3-preview/e6d56add4e9409e78f087a02053a013c05af8c38?cid=b8d3901151d34489a160e3cf0ab1fa94,180133.0,0.0,The Ultimate Chi-Lites,0.665,0.552,6.0,-10.177,1.0,0.0307,0.493,0.0272,0.421,0.899,96.889,4.0,29.0,http://www.billboard.com/charts/hot-100/1971-05-29,1971Q2,26.0,1.0,28.0,26.0,8.0,5100.447,2.0,0
(For God's Sake) Give More Power To The PeopleThe Chi-lites,The Chi-lites,(For God's Sake) Give More Power To The People,"'chicago soul', 'classic soul', 'disco', 'funk', 'motown', 'quiet storm', 'soul', 'southern soul'",0dVabf3Sm1uHODq1vz2Lts,https://p.scdn.co/mp3-preview/e6d56add4e9409e78f087a02053a013c05af8c38?cid=b8d3901151d34489a160e3cf0ab1fa94,180133.0,0.0,The Ultimate Chi-Lites,0.665,0.552,6.0,-10.177,1.0,0.0307,0.493,0.0272,0.421,0.899,96.889,4.0,29.0,http://www.billboard.com/charts/hot-100/1971-06-05,1971Q2,26.0,1.0,26.0,26.0,9.0,5100.447,0.0,0
(For God's Sake) Give More Power To The PeopleThe Chi-lites,The Chi-lites,(For God's Sake) Give More Power To The People,"'chicago soul', 'classic soul', 'disco', 'funk', 'motown', 'quiet storm', 'soul', 'southern soul'",0dVabf3Sm1uHODq1vz2Lts,https://p.scdn.co/mp3-preview/e6d56add4e9409e78f087a02053a013c05af8c38?cid=b8d3901151d34489a160e3cf0ab1fa94,180133.0,0.0,The Ultimate Chi-Lites,0.665,0.552,6.0,-10.177,1.0,0.0307,0.493,0.0272,0.421,0.899,96.889,4.0,29.0,http://www.billboard.com/charts/hot-100/1971-04-24,1971Q2,65.0,1.0,69.0,65.0,3.0,5100.447,4.0,0
(For God's Sake) Give More Power To The PeopleThe Chi-lites,The Chi-lites,(For God's Sake) Give More Power To The People,"'chicago soul', 'classic soul', 'disco', 'funk', 'motown', 'quiet storm', 'soul', 'southern soul'",0dVabf3Sm1uHODq1vz2Lts,https://p.scdn.co/mp3-preview/e6d56add4e9409e78f087a02053a013c05af8c38?cid=b8d3901151d34489a160e3cf0ab1fa94,180133.0,0.0,The Ultimate Chi-Lites,0.665,0.552,6.0,-10.177,1.0,0.0307,0.493,0.0272,0.421,0.899,96.889,4.0,29.0,http://www.billboard.com/charts/hot-100/1971-04-17,1971Q2,69.0,1.0,76.0,69.0,2.0,5100.447,7.0,0
(For God's Sake) Give More Power To The PeopleThe Chi-lites,The Chi-lites,(For God's Sake) Give More Power To The People,"'chicago soul', 'classic soul', 'disco', 'funk', 'motown', 'quiet storm', 'soul', 'southern soul'",0dVabf3Sm1uHODq1vz2Lts,https://p.scdn.co/mp3-preview/e6d56add4e9409e78f087a02053a013c05af8c38?cid=b8d3901151d34489a160e3cf0ab1fa94,180133.0,0.0,The Ultimate Chi-Lites,0.665,0.552,6.0,-10.177,1.0,0.0307,0.493,0.0272,0.421,0.899,96.889,4.0,29.0,http://www.billboard.com/charts/hot-100/1971-05-15,1971Q2,29.0,1.0,38.0,29.0,6.0,5100.447,9.0,0
(For God's Sake) Give More Power To The PeopleThe Chi-lites,The Chi-lites,(For God's Sake) Give More Power To The People,"'chicago soul', 'classic soul', 'disco', 'funk', 'motown', 'quiet storm', 'soul', 'southern soul'",0dVabf3Sm1uHODq1vz2Lts,https://p.scdn.co/mp3-preview/e6d56add4e9409e78f087a02053a013c05af8c38?cid=b8d3901151d34489a160e3cf0ab1fa94,180133.0,0.0,The Ultimate Chi-Lites,0.665,0.552,6.0,-10.177,1.0,0.0307,0.493,0.0272,0.421,0.899,96.889,4.0,29.0,http://www.billboard.com/charts/hot-100/1971-06-12,1971Q2,38.0,1.0,26.0,26.0,10.0,5100.447,-12.0,0
(For God's Sake) Give More Power To The PeopleThe Chi-lites,The Chi-lites,(For God's Sake) Give More Power To The People,"'chicago soul', 'classic soul', 'disco', 'funk', 'motown', 'quiet storm', 'soul', 'southern soul'",0dVabf3Sm1uHODq1vz2Lts,https://p.scdn.co/mp3-preview/e6d56add4e9409e78f087a02053a013c05af8c38?cid=b8d3901151d34489a160e3cf0ab1fa94,180133.0,0.0,The Ultimate Chi-Lites,0.665,0.552,6.0,-10.177,1.0,0.0307,0.493,0.0272,0.421,0.899,96.889,4.0,29.0,http://www.billboard.com/charts/hot-100/1971-06-19,1971Q2,43.0,1.0,38.0,26.0,11.0,5100.447,-5.0,0
