SongID,Artist,Title,spotify_genre,spotify_track_id,spotify_track_preview_url,spotify_track_duration_ms,spotify_track_explicit,spotify_track_album,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,spotify_track_popularity,url,WeekID,Week Position,Instance,Previous Week Position,Peak Position,Weeks on Chart,GDP,rank_gain/loss,recession
(Don't Worry) If There's A Hell Below We're All Going To GoCurtis Mayfield,Curtis Mayfield,(Don't Worry) If There's A Hell Below We're All Going To Go,"'chicago soul', 'classic soul', 'disco', 'funk', 'soul'",5RlUTWYlTeE1JiyudvnlAU,https://p.scdn.co/mp3-preview/69225e38740b2674debe0f5d231b1b1ec2cd40e7?cid=b8d3901151d34489a160e3cf0ab1fa94,470506.0,0.0,Move On Up,0.686,0.755,1.0,-8.304,0.0,0.0488,0.149,0.063,0.111,0.686,119.895,4.0,15.0,http://www.billboard.com/charts/hot-100/1970-11-28,1970Q4,78.0,1.0,87.0,78.0,2.0,4938.857,9.0,0
(Don't Worry) If There's A Hell Below We're All Going To GoCurtis Mayfield,Curtis Mayfield,(Don't Worry) If There's A Hell Below We're All Going To Go,"'chicago soul', 'classic soul', 'disco', 'funk', 'soul'",5RlUTWYlTeE1JiyudvnlAU,https://p.scdn.co/mp3-preview/69225e38740b2674debe0f5d231b1b1ec2cd40e7?cid=b8d3901151d34489a160e3cf0ab1fa94,470506.0,0.0,Move On Up,0.686,0.755,1.0,-8.304,0.0,0.0488,0.149,0.063,0.111,0.686,119.895,4.0,15.0,http://www.billboard.com/charts/hot-100/1970-12-05,1970Q4,63.0,1.0,78.0,63.0,3.0,4938.857,15.0,0
(Don't Worry) If There's A Hell Below We're All Going To GoCurtis Mayfield,Curtis Mayfield,(Don't Worry) If There's A Hell Below We're All Going To Go,"'chicago soul', 'classic soul', 'disco', 'funk', 'soul'",5RlUTWYlTeE1JiyudvnlAU,https://p.scdn.co/mp3-preview/69225e38740b2674debe0f5d231b1b1ec2cd40e7?cid=b8d3901151d34489a160e3cf0ab1fa94,470506.0,0.0,Move On Up,0.686,0.755,1.0,-8.304,0.0,0.0488,0.149,0.063,0.111,0.686,119.895,4.0,15.0,http://www.billboard.com/charts/hot-100/1970-12-19,1970Q4,53.0,1.0,61.0,53.0,5.0,4938.857,8.0,0
(Don't Worry) If There's A Hell Below We're All Going To GoCurtis Mayfield,Curtis Mayfield,(Don't Worry) If There's A Hell Below We're All Going To Go,"'chicago soul', 'classic soul', 'disco', 'funk', 'soul'",5RlUTWYlTeE1JiyudvnlAU,https://p.scdn.co/mp3-preview/69225e38740b2674debe0f5d231b1b1ec2cd40e7?cid=b8d3901151d34489a160e3cf0ab1fa94,470506.0,0.0,Move On Up,0.686,0.755,1.0,-8.304,0.0,0.0488,0.149,0.063,0.111,0.686,119.895,4.0,15.0,http://www.billboard.com/charts/hot-100/1970-12-12,1970Q4,61.0,1.0,63.0,61.0,4.0,4938.857,2.0,0
(Don't Worry) If There's A Hell Below We're All Going To GoCurtis Mayfield,Curtis Mayfield,(Don't Worry) If There's A Hell Below We're All Going To Go,"'chicago soul', 'classic soul', 'disco', 'funk', 'soul'",5RlUTWYlTeE1JiyudvnlAU,https://p.scdn.co/mp3-preview/69225e38740b2674debe0f5d231b1b1ec2cd40e7?cid=b8d3901151d34489a160e3cf0ab1fa94,470506.0,0.0,Move On Up,0.686,0.755,1.0,-8.304,0.0,0.0488,0.149,0.063,0.111,0.686,119.895,4.0,15.0,http://www.billboard.com/charts/hot-100/1970-12-26,1970Q4,48.0,1.0,53.0,48.0,6.0,4938.857,5.0,0
(I Can Feel Those Vibrations) This Love Is RealJackie Wilson,Jackie Wilson,(I Can Feel Those Vibrations) This Love Is Real,"'adult standards', 'brill building pop', 'chicago soul', 'classic soul', 'motown', 'quiet storm', 'rhythm and blues', 'rock-and-roll', 'rockabilly', 'soul'",2QM3bCcmAwiuwDvhIispV8,https://p.scdn.co/mp3-preview/341d37a9332998e830abfbcdb46bf65a6dd8139c?cid=b8d3901151d34489a160e3cf0ab1fa94,175146.0,0.0,The Ultimate Jackie Wilson,0.63,0.8,2.0,-6.002,1.0,0.15,0.429,0.0,0.3,0.736,120.811,4.0,26.0,http://www.billboard.com/charts/hot-100/1970-12-26,1970Q4,97.0,1.0,100.0,97.0,2.0,4938.857,3.0,0
(I Remember) Summer MorningVanity Fare,Vanity Fare,(I Remember) Summer Morning,"'bubblegum pop', 'classic uk pop', 'merseybeat'",5iDkKAJZxGaqIo4Z32ZbjD,https://p.scdn.co/mp3-preview/10809612f825fcf98d914d9cda3485edb226d95f?cid=b8d3901151d34489a160e3cf0ab1fa94,178418.0,0.0,Early in the Morning,0.528,0.341,4.0,-12.768,0.0,0.03,0.922,0.0,0.135,0.337,111.336,4.0,3.0,http://www.billboard.com/charts/hot-100/1970-09-05,1970Q3,98.0,1.0,98.0,98.0,2.0,4992.357,0.0,0
(If You Let Me Make Love To You Then) Why Can't I Touch You?Ronnie Dyson,Ronnie Dyson,(If You Let Me Make Love To You Then) Why Can't I Touch You?,'classic soul',5QQOXL6qvhobRG7zfjQCXW,https://p.scdn.co/mp3-preview/087b7171b494a0ee6c3e319c3456d48192e903b7?cid=b8d3901151d34489a160e3cf0ab1fa94,203746.0,0.0,(If You Let Me Make Love To You Then) Why Can't I Touch You? (Expanded Edition),0.398,0.692,0.0,-8.596,1.0,0.045,0.496,0.0,0.394,0.65,93.907,4.0,20.0,http://www.billboard.com/charts/hot-100/1970-06-27,1970Q2,84.0,1.0,89.0,84.0,2.0,4946.77,5.0,0
(If You Let Me Make Love To You Then) Why Can't I Touch You?Ronnie Dyson,Ronnie Dyson,(If You Let Me Make Love To You Then) Why Can't I Touch You?,'classic soul',5QQOXL6qvhobRG7zfjQCXW,https://p.scdn.co/mp3-preview/087b7171b494a0ee6c3e319c3456d48192e903b7?cid=b8d3901151d34489a160e3cf0ab1fa94,203746.0,0.0,(If You Let Me Make Love To You Then) Why Can't I Touch You? (Expanded Edition),0.398,0.692,0.0,-8.596,1.0,0.045,0.496,0.0,0.394,0.65,93.907,4.0,20.0,http://www.billboard.com/charts/hot-100/1970-08-15,1970Q3,14.0,1.0,16.0,14.0,9.0,4992.357,2.0,0
(If You Let Me Make Love To You Then) Why Can't I Touch You?Ronnie Dyson,Ronnie Dyson,(If You Let Me Make Love To You Then) Why Can't I Touch You?,'classic soul',5QQOXL6qvhobRG7zfjQCXW,https://p.scdn.co/mp3-preview/087b7171b494a0ee6c3e319c3456d48192e903b7?cid=b8d3901151d34489a160e3cf0ab1fa94,203746.0,0.0,(If You Let Me Make Love To You Then) Why Can't I Touch You? (Expanded Edition),0.398,0.692,0.0,-8.596,1.0,0.045,0.496,0.0,0.394,0.65,93.907,4.0,20.0,http://www.billboard.com/charts/hot-100/1970-07-04,1970Q3,69.0,1.0,84.0,69.0,3.0,4992.357,15.0,0
