date,track_artist,track_lp,track_new,track_pp,track_rank,track_title,track_weeks,GDP,rank_gain/loss,recession
1991Q2,Gloria Estefan,1.0,0,1.0,1,Coming Out Of The Dark,11.0,9347.597,0.0,0
1991Q2,Londonbeat,5.0,0,2.0,2,I've Been Thinking About You,9.0,9347.597,3.0,0
1991Q2,Wilson Phillips,7.0,0,3.0,3,You're In Love,9.0,9347.597,4.0,0
1991Q2,Tara Kemp,4.0,0,4.0,4,Hold You Tight,12.0,9347.597,0.0,0
1991Q2,Enigma,8.0,0,5.0,5,Sadeness Part 1,9.0,9347.597,3.0,0
1991Q2,Timmy T.,2.0,0,1.0,6,One More Try,16.0,9347.597,-4.0,0
1991Q2,Amy Grant,14.0,0,7.0,7,Baby Baby,7.0,9347.597,7.0,0
1991Q2,Tesla,10.0,0,8.0,8,Signs,14.0,9347.597,2.0,0
1991Q2,Tracie Spencer,3.0,0,3.0,9,This House,16.0,9347.597,-6.0,0
1991Q2,Another Bad Creation,11.0,0,10.0,10,Iesha,13.0,9347.597,1.0,0
1991Q2,Gerardo,15.0,0,11.0,11,Rico Suave,10.0,9347.597,4.0,0
1991Q2,Roxette,17.0,0,12.0,12,Joyride,6.0,9347.597,5.0,0
1991Q2,Mariah Carey,6.0,0,1.0,13,Someday,12.0,9347.597,-7.0,0
1991Q2,Tevin Campbell,13.0,0,13.0,14,Round And Round,18.0,9347.597,-1.0,0
1991Q2,Stevie B,12.0,0,12.0,15,I'll Be By Your Side,10.0,9347.597,-3.0,0
1991Q2,Rick Astley,19.0,0,16.0,16,Cry For Help,8.0,9347.597,3.0,0
1991Q2,Robert Palmer,18.0,0,17.0,17,Mercy Mercy Me (The Ecology)/I Want You,8.0,9347.597,1.0,0
1991Q2,Oleta Adams,9.0,0,5.0,18,Get Here,17.0,9347.597,-9.0,0
1991Q2,Hi-Five,24.0,0,19.0,19,I Like The Way (The Kissing Game),7.0,9347.597,5.0,0
1991Q2,Cathy Dennis,26.0,0,20.0,20,Touch Me (All Night Long),6.0,9347.597,6.0,0
1991Q2,C+C Music Factory/F. Williams,30.0,0,21.0,21,Here We Go,6.0,9347.597,9.0,0
1991Q2,Whitney Houston,20.0,0,20.0,22,The Star Spangled Banner,5.0,9347.597,-2.0,0
1991Q2,The Rembrandts,28.0,0,23.0,23,"Just The Way It Is, Baby",9.0,9347.597,5.0,0
1991Q2,Divinyls,34.0,0,24.0,24,I Touch Myself,5.0,9347.597,10.0,0
1991Q2,Voices That Care,40.0,0,25.0,25,Voices That Care,4.0,9347.597,15.0,0
1991Q2,Rod Stewart,35.0,0,26.0,26,Rhythm Of My Heart,4.0,9347.597,9.0,0
1991Q2,Bingo Boys Featuring Princessa,31.0,0,27.0,27,How To Dance,8.0,9347.597,4.0,0
1991Q2,Madonna,16.0,0,9.0,28,Rescue Me,6.0,9347.597,-12.0,0
1991Q2,Whitney Houston,21.0,0,1.0,29,All The Man That I Need,16.0,9347.597,-8.0,0
1991Q2,Celine Dion,23.0,0,4.0,30,Where Does My Heart Beat Now,18.0,9347.597,-7.0,0
1991Q2,Styx,22.0,0,3.0,31,Show Me The Way,18.0,9347.597,-9.0,0
1991Q2,LL Cool J,25.0,0,9.0,32,Around The Way Girl,19.0,9347.597,-7.0,0
1991Q2,The Rude Boys,39.0,0,33.0,33,Written All Over Your Face,5.0,9347.597,6.0,0
1991Q2,Father M.C.,29.0,0,20.0,34,I'll Do 4 U,13.0,9347.597,-5.0,0
1991Q2,Lisette Melendez,38.0,0,35.0,35,Together Forever,10.0,9347.597,3.0,0
1991Q2,Nelson,42.0,0,36.0,36,More Than Ever,5.0,9347.597,6.0,0
1991Q2,C+C Music Factory,32.0,0,1.0,37,Gonna Make You Sweat (Everybody Dance Now),21.0,9347.597,-5.0,0
1991Q2,Ralph Tresvant,45.0,0,38.0,38,Stone Cold Gentleman,7.0,9347.597,7.0,0
1991Q2,Keedy,50.0,0,39.0,39,Save Some Love,4.0,9347.597,11.0,0
1991Q2,The Triplets,46.0,0,40.0,40,You Don't Have To Go Home Tonight,4.0,9347.597,6.0,0
1991Q2,Harriet,43.0,0,41.0,41,Temple Of Love,8.0,9347.597,2.0,0
1991Q2,Chris Isaak,36.0,0,6.0,42,Wicked Game,19.0,9347.597,-6.0,0
1991Q2,Queensryche,52.0,0,43.0,43,Silent Lucidity,3.0,9347.597,9.0,0
1991Q2,Guy,47.0,0,44.0,44,Let's Chill,7.0,9347.597,3.0,0
1991Q2,Sting,27.0,0,5.0,45,All This Time,12.0,9347.597,-18.0,0
1991Q2,Alias,33.0,0,13.0,46,Waiting For Love,12.0,9347.597,-13.0,0
1991Q2,Michel'le,37.0,0,31.0,47,Something In My Heart,13.0,9347.597,-10.0,0
1991Q2,The Escape Club,44.0,0,44.0,48,Call It Poison,7.0,9347.597,-4.0,0
1991Q2,Alexander O'Neal,51.0,0,49.0,49,All True Man,7.0,9347.597,2.0,0
1991Q2,Londonbeat,2.0,0,1.0,1,I've Been Thinking About You,10.0,9347.597,1.0,0
1991Q2,Wilson Phillips,3.0,0,2.0,2,You're In Love,10.0,9347.597,1.0,0
1991Q2,Tara Kemp,4.0,0,3.0,3,Hold You Tight,13.0,9347.597,1.0,0
1991Q2,Amy Grant,7.0,0,4.0,4,Baby Baby,8.0,9347.597,3.0,0
1991Q2,Enigma,5.0,0,5.0,5,Sadeness Part 1,10.0,9347.597,0.0,0
1991Q2,Roxette,12.0,0,6.0,6,Joyride,7.0,9347.597,6.0,0
1991Q2,Gerardo,11.0,0,7.0,7,Rico Suave,11.0,9347.597,4.0,0
1991Q2,Gloria Estefan,1.0,0,1.0,8,Coming Out Of The Dark,12.0,9347.597,-7.0,0
1991Q2,Another Bad Creation,10.0,0,9.0,9,Iesha,14.0,9347.597,1.0,0
1991Q2,Tesla,8.0,0,8.0,10,Signs,15.0,9347.597,-2.0,0
1991Q2,Rick Astley,16.0,0,11.0,11,Cry For Help,9.0,9347.597,5.0,0
1991Q2,Tevin Campbell,14.0,0,12.0,12,Round And Round,19.0,9347.597,2.0,0
1991Q2,Hi-Five,19.0,0,13.0,13,I Like The Way (The Kissing Game),8.0,9347.597,6.0,0
1991Q2,Timmy T.,6.0,0,1.0,14,One More Try,17.0,9347.597,-8.0,0
1991Q2,C+C Music Factory/F. Williams,21.0,0,15.0,15,Here We Go,7.0,9347.597,6.0,0
1991Q2,Cathy Dennis,20.0,0,16.0,16,Touch Me (All Night Long),7.0,9347.597,4.0,0
1991Q2,Robert Palmer,17.0,0,17.0,17,Mercy Mercy Me (The Ecology)/I Want You,9.0,9347.597,0.0,0
1991Q2,Divinyls,24.0,0,18.0,18,I Touch Myself,6.0,9347.597,6.0,0
1991Q2,Voices That Care,25.0,0,19.0,19,Voices That Care,5.0,9347.597,6.0,0
1991Q2,Tracie Spencer,9.0,0,3.0,20,This House,17.0,9347.597,-11.0,0
1991Q2,Mariah Carey,13.0,0,1.0,21,Someday,13.0,9347.597,-8.0,0
1991Q2,The Rembrandts,23.0,0,22.0,22,"Just The Way It Is, Baby",10.0,9347.597,1.0,0
1991Q2,Rod Stewart,26.0,0,23.0,23,Rhythm Of My Heart,5.0,9347.597,3.0,0
1991Q2,Stevie B,15.0,0,12.0,24,I'll Be By Your Side,11.0,9347.597,-9.0,0
