date,track_artist,track_lp,track_new,track_pp,track_rank,track_title,track_weeks,GDPC1
1930-01-01,Ben Selvin,,,,1,Happy Days Are Here Again,,
1930-01-01,Harry Richman,,,,2,Puttin' on the Ritz,,
1930-01-01,Ruth Etting,,,,3,Ten Cents a Dance,,
1930-01-01,Don Azpiazu & his Havana Casino Orchestra,,,,4,The Peanut Vendor,,
1930-01-01,Paul Whiteman,,,,5,Body & Soul,,
1930-01-01,Duke Ellington,,,,6,Three Little Words,,
1930-01-01,Rudy Vallee & his Connecticut Yankees,,,,7,Stein Song (University of Maine),,
1930-01-01,Ted Lewis & his Orchestra,,,,8,On the Sunny Side of the Street ,,
1930-01-01,Roy Ingraham,,,,9,Chant of the Jungle,,
1930-01-01,Nat Shilkret,,,,10,Dancing With Tears in My Eyes,,
1930-01-01,Fred Waring & the Pennsylvanians,,,,11,Little White Lies,,
1930-01-01,Guy Lombardo,,,,12,You're Driving Me Crazy! (What Did I Do?),,
1930-01-01,Benny Meroff & his Orchestra,,,,13,Happy Days Are Here Again,,
1930-01-01,Jimmie Rodgers,,,,14,Blue Yodel No.9 (Standin' on the Corner),,
1930-01-01,Hilo Hawaiian Orchestra,,,,15,When It's Springtime in The Rockies,,
1930-01-01,McKinney's Cotton Pickers,,,,16,If I Could Be With You One Hour Tonight,,
1930-01-01,Louis Armstrong,,,,17,St Louis Blues ,,
1930-01-01,Mississippi Sheiks,,,,18,Sitting on Top of the World,,
1930-01-01,Ben Selvin,,,,19,When It's Springtime in The Rockies,,
1930-01-01, Cannon's Jug Stompers,,,,20,Walk Right In,,
1930-01-01,Carmen Miranda,,,,21,Pra Voce Gostar De Mim (Tahi),,
1930-01-01,Van Phillips,,,,22,I'm in The Market For You,,
1930-01-01,Son House,,,,23,My Black Mama,,
1930-01-01,Al Jolson,,,,24,Let Me Sing & I'm Happy,,
1930-01-01,Rudy Vallee & his Connecticut Yankees,,,,25,Betty Coed,,
1930-01-01,Hoagy Carmichael,,,,26,Georgia On My Mind,,
1930-01-01,Mary Lou Williams,,,,27,Nightlife,,
1930-01-01,Ted Weems,,,,28,The Man from the South,,
1930-01-01,Duke Ellington,,,,29,Ring Dem Bells,,
1930-01-01,Fred Astaire,,,,30,Puttin' on the Ritz,,
1930-01-01,Nat Shilkret,,,,31,Get Happy,,
1930-01-01,Louis Armstrong,,,,32,Memories Of You,,
1930-01-01,Ted Weems,,,,33,My Baby Just Cares For Me,,
1930-01-01,Leo Reisman,,,,34,What Is This Thing Called Love?,,
1930-01-01,Louis Armstrong,,,,35,On the Sunny Side of the Street,,
