date,track_artist,track_lp,track_new,track_pp,track_rank,track_title,track_weeks,GDP,rank_gain/loss,recession
1961Q2,The Marcels,6.0,0,1.0,1,Blue Moon,5.0,3311.181,5.0,1
1961Q2,Jorgen Ingmann & His Guitar,4.0,0,2.0,2,Apache,11.0,3311.181,2.0,1
1961Q2,Elvis Presley With The Jordanaires,1.0,0,1.0,3,Surrender,7.0,3311.181,-2.0,1
1961Q2,Chubby Checker,2.0,0,1.0,4,Pony Time,11.0,3311.181,-2.0,1
1961Q2,The Shirelles,3.0,0,3.0,5,Dedicated To The One I Love,15.0,3311.181,-2.0,1
1961Q2,Marty Robbins,5.0,0,3.0,6,Don't Worry,10.0,3311.181,-1.0,1
1961Q2,Floyd Cramer,11.0,0,7.0,7,On The Rebound,5.0,3311.181,4.0,1
1961Q2,The Everly Brothers,7.0,0,7.0,8,Walk Right Back,9.0,3311.181,-1.0,1
1961Q2,Del Shannon,21.0,0,9.0,9,Runaway,5.0,3311.181,12.0,1
1961Q2,Clarence Henry,17.0,0,10.0,10,But I Do,7.0,3311.181,7.0,1
1961Q2,Brook Benton,12.0,0,11.0,11,Think Twice,8.0,3311.181,1.0,1
1961Q2,The String-A-Longs,8.0,0,3.0,12,Wheels,13.0,3311.181,-4.0,1
1961Q2,Kokomo,15.0,0,13.0,13,Asia Minor,7.0,3311.181,2.0,1
1961Q2,Carla Thomas,10.0,0,10.0,14,Gee Whiz (Look At His Eyes),10.0,3311.181,-4.0,1
1961Q2,Connie Francis,9.0,0,4.0,15,Where The Boys Are,12.0,3311.181,-6.0,1
1961Q2,Cathy Jean and The Roommates,22.0,0,16.0,16,Please Love Me Forever,6.0,3311.181,6.0,1
1961Q2,The Everly Brothers,13.0,0,8.0,17,Ebony Eyes,10.0,3311.181,-4.0,1
1961Q2,Adam Wade,24.0,0,18.0,18,Take Good Care Of Her,4.0,3311.181,6.0,1
1961Q2,The Echoes,27.0,0,19.0,19,Baby Blue,5.0,3311.181,8.0,1
1961Q2,Brenda Lee,62.0,0,19.0,19,You Can Depend On Me,2.0,3311.181,43.0,1
1961Q2,Johnny Maestro,20.0,0,20.0,20,Model Girl,9.0,3311.181,0.0,1
1961Q2,Ray Charles,32.0,0,21.0,21,One Mint Julep,5.0,3311.181,11.0,1
1961Q2,Paul Anka,34.0,0,22.0,22,"Tonight My Love, Tonight",4.0,3311.181,12.0,1
1961Q2,Ernie K-Doe,55.0,0,23.0,23,Mother-In-Law,2.0,3311.181,32.0,1
1961Q2,Ben E. King,16.0,0,10.0,24,Spanish Harlem,14.0,3311.181,-8.0,1
1961Q2,Linda Scott,46.0,0,25.0,25,I've Told Every Little Star,4.0,3311.181,21.0,1
1961Q2,Gene McDaniels,71.0,0,26.0,26,A Hundred Pounds Of Clay,3.0,3311.181,45.0,1
1961Q2,Jackie Wilson,33.0,0,27.0,27,Please Tell Me Why,4.0,3311.181,6.0,1
1961Q2,Bobby Darin,14.0,0,14.0,28,Lazy River,9.0,3311.181,-14.0,1
1961Q2,Rochell And The Candles With Johnny Wyatt,35.0,0,30.0,30,Once Upon A Time,9.0,3311.181,5.0,1
1961Q2,Sam Cooke,31.0,0,31.0,31,That's It - I Quit - I'm Movin' On,5.0,3311.181,0.0,1
1961Q2,Fats Domino,41.0,0,32.0,32,Fell In Love On Monday,3.0,3311.181,9.0,1
1961Q2,Kathy Young With The Innocents,37.0,0,30.0,33,Happy Birthday Blues,7.0,3311.181,4.0,1
1961Q2,Jerry Butler,56.0,0,34.0,34,Find Another Girl,5.0,3311.181,22.0,1
1961Q2,Freddy King,45.0,0,35.0,35,Hide Away,5.0,3311.181,10.0,1
1961Q2,Buzz Clifford,19.0,0,6.0,36,Baby Sittin' Boogie,13.0,3311.181,-17.0,1
1961Q2,Steve Lawrence,48.0,0,37.0,37,Portrait Of My Love,5.0,3311.181,11.0,1
1961Q2,Etta James,43.0,0,38.0,38,Trust In Me,4.0,3311.181,5.0,1
1961Q2,The Vibrations,28.0,0,25.0,39,The Watusi,7.0,3311.181,-11.0,1
1961Q2,James Brown And The Famous Flames,49.0,0,40.0,40,Bewildered,6.0,3311.181,9.0,1
1961Q2,Bill Black's Combo,26.0,0,20.0,41,Hearts Of Stone,7.0,3311.181,-15.0,1
1961Q2,Lawrence Welk And His Orchestra,23.0,0,1.0,42,Calcutta,17.0,3311.181,-19.0,1
1961Q2,Johnny Burnette,18.0,0,17.0,43,Little Boy Sad,9.0,3311.181,-25.0,1
1961Q2,Jackie Wilson,40.0,0,40.0,44,Your One And Only Love,4.0,3311.181,-4.0,1
1961Q2,Roy Hamilton,30.0,0,12.0,45,You Can Have Her,10.0,3311.181,-15.0,1
1961Q2,The Drifters,64.0,0,46.0,46,Some Kind Of Wonderful,3.0,3311.181,18.0,1
1961Q2,Fats Domino,54.0,0,47.0,47,Shu Rah,3.0,3311.181,7.0,1
1961Q2,Bobby Rydell,25.0,0,11.0,48,Good Time Baby,11.0,3311.181,-23.0,1
1961Q2,Ferrante & Teicher,36.0,0,2.0,49,Exodus,21.0,3311.181,-13.0,1
1961Q2,The Marcels,1.0,0,1.0,1,Blue Moon,6.0,3311.181,0.0,1
1961Q2,Jorgen Ingmann & His Guitar,2.0,0,2.0,2,Apache,12.0,3311.181,0.0,1
1961Q2,The Shirelles,5.0,0,3.0,3,Dedicated To The One I Love,16.0,3311.181,2.0,1
1961Q2,Del Shannon,9.0,0,4.0,4,Runaway,6.0,3311.181,5.0,1
1961Q2,Floyd Cramer,7.0,0,5.0,5,On The Rebound,6.0,3311.181,2.0,1
1961Q2,Clarence Henry,10.0,0,6.0,6,But I Do,8.0,3311.181,4.0,1
1961Q2,Elvis Presley With The Jordanaires,3.0,0,1.0,7,Surrender,8.0,3311.181,-4.0,1
1961Q2,Marty Robbins,6.0,0,3.0,8,Don't Worry,11.0,3311.181,-2.0,1
1961Q2,Ernie K-Doe,23.0,0,9.0,9,Mother-In-Law,3.0,3311.181,14.0,1
1961Q2,The Everly Brothers,8.0,0,7.0,10,Walk Right Back,10.0,3311.181,-2.0,1
1961Q2,Chubby Checker,4.0,0,1.0,11,Pony Time,12.0,3311.181,-7.0,1
1961Q2,Kokomo,13.0,0,12.0,12,Asia Minor,8.0,3311.181,1.0,1
1961Q2,Adam Wade,18.0,0,13.0,13,Take Good Care Of Her,5.0,3311.181,5.0,1
1961Q2,Cathy Jean and The Roommates,16.0,0,14.0,14,Please Love Me Forever,7.0,3311.181,2.0,1
1961Q2,Brook Benton,11.0,0,11.0,15,Think Twice,9.0,3311.181,-4.0,1
1961Q2,Ray Charles,21.0,0,16.0,16,One Mint Julep,6.0,3311.181,5.0,1
