date,track_artist,track_lp,track_new,track_pp,track_rank,track_title,track_weeks,GDP,rank_gain/loss,recession
1971Q1,George Harrison,1.0,0,1.0,1,My Sweet Lord/Isn't It A Pity,7.0,5072.996,0.0,0
1971Q1,Dawn,3.0,0,2.0,2,Knock Three Times,8.0,5072.996,1.0,0
1971Q1,The 5th Dimension,2.0,0,2.0,3,One Less Bell To Answer,12.0,5072.996,-1.0,0
1971Q1,Santana,5.0,0,4.0,4,Black Magic Woman,9.0,5072.996,1.0,0
1971Q1,The Partridge Family Starring Shirley Jones Featuring David Cassidy,6.0,0,1.0,5,I Think I Love You,14.0,5072.996,1.0,0
1971Q1,Smokey Robinson & The Miracles,4.0,0,1.0,6,The Tears Of A Clown,13.0,5072.996,-2.0,0
1971Q1,Chicago,7.0,0,7.0,7,Does Anybody Really Know What Time It Is?,10.0,5072.996,0.0,0
1971Q1,The Supremes,8.0,0,7.0,8,Stoned Love,10.0,5072.996,0.0,0
1971Q1,Bee Gees,21.0,0,9.0,9,Lonely Days,6.0,5072.996,12.0,0
1971Q1,Barbra Streisand,12.0,0,10.0,10,Stoney End,11.0,5072.996,2.0,0
1971Q1,King Floyd,17.0,0,11.0,11,Groove Me,12.0,5072.996,6.0,0
1971Q1,Perry Como,15.0,0,12.0,12,It's Impossible,9.0,5072.996,3.0,0
1971Q1,Chairman Of The Board,14.0,0,13.0,13,Pay To The Piper,9.0,5072.996,1.0,0
1971Q1,The Supremes & Four Tops,16.0,0,14.0,14,River Deep - Mountain High,7.0,5072.996,2.0,0
1971Q1,Van Morrison,9.0,0,9.0,15,Domino,9.0,5072.996,-6.0,0
1971Q1,Ray Price,11.0,0,11.0,16,For The Good Times,20.0,5072.996,-5.0,0
1971Q1,Elton John,25.0,0,17.0,17,Your Song,7.0,5072.996,8.0,0
1971Q1,Lynn Anderson,18.0,0,18.0,18,Rose Garden,7.0,5072.996,0.0,0
1971Q1,Three Dog Night,20.0,0,19.0,19,One Man Band,8.0,5072.996,1.0,0
1971Q1,Gladys Knight And The Pips,23.0,0,20.0,20,If I Were Your Woman,7.0,5072.996,3.0,0
1971Q1,Badfinger,13.0,0,8.0,21,No Matter What,11.0,5072.996,-8.0,0
1971Q1,Brian Hyland,10.0,0,3.0,22,Gypsy Woman,19.0,5072.996,-12.0,0
1971Q1,Led Zeppelin,24.0,0,23.0,23,Immigrant Song,8.0,5072.996,1.0,0
1971Q1,Stephen Stills,27.0,0,24.0,24,Love The One You're With,5.0,5072.996,3.0,0
1971Q1,Runt,32.0,0,25.0,25,We Gotta Get You A Woman,9.0,5072.996,7.0,0
1971Q1,Neil Diamond,22.0,0,20.0,26,He Ain't Heavy...He's My Brother,10.0,5072.996,-4.0,0
1971Q1,Andy Kim,26.0,0,17.0,27,Be My Baby,10.0,5072.996,-1.0,0
1971Q1,Redeye,31.0,0,28.0,28,Games,10.0,5072.996,3.0,0
1971Q1,Elvis Presley,35.0,0,29.0,29,I Really Don't Want To Know/There Goes My Everything,3.0,5072.996,6.0,0
1971Q1,Curtis Mayfield,34.0,0,30.0,30,(Don't Worry) If There's A Hell Below We're All Going To Go,8.0,5072.996,4.0,0
1971Q1,Diana Ross,47.0,0,31.0,31,Remember Me,3.0,5072.996,16.0,0
1971Q1,Rare Earth,36.0,0,32.0,32,Born To Wander,5.0,5072.996,4.0,0
1971Q1,Edwin Starr,33.0,0,33.0,33,Stop The War Now,4.0,5072.996,0.0,0
1971Q1,Tom Jones,30.0,0,25.0,34,Can't Stop Loving You,8.0,5072.996,-4.0,0
1971Q1,The Presidents,19.0,0,11.0,35,5-10-15-20 (25-30 Years Of Love),15.0,5072.996,-16.0,0
1971Q1,Jerry Reed,50.0,0,36.0,36,Amos Moses,11.0,5072.996,14.0,0
1971Q1,Judy Collins,48.0,0,37.0,37,Amazing Grace,5.0,5072.996,11.0,0
1971Q1,Nitty Gritty Dirt Band,40.0,0,38.0,38,Mr. Bojangles,8.0,5072.996,2.0,0
1971Q1,Bobby Goldsboro,58.0,0,39.0,39,Watching Scotty Grow,3.0,5072.996,19.0,0
1971Q1,B.J. Thomas,42.0,0,40.0,40,Most Of All,7.0,5072.996,2.0,0
1971Q1,James Brown,53.0,0,41.0,41,"Get Up, Get Into It, Get Involved (Pt. 1)",2.0,5072.996,12.0,0
1971Q1,Michael Nesmith & The First National Band,43.0,0,42.0,42,Silver Moon,7.0,5072.996,1.0,0
1971Q1,Dave Edmunds,62.0,0,43.0,43,I Hear You Knocking,3.0,5072.996,19.0,0
1971Q1,Dionne Warwick,45.0,0,44.0,44,The Green Grass Starts To Grow,6.0,5072.996,1.0,0
1971Q1,The Flaming Ember,37.0,0,34.0,45,I'm Not My Brothers Keeper,13.0,5072.996,-8.0,0
1971Q1,Neil Young,46.0,0,33.0,46,Only Love Can Break Your Heart,12.0,5072.996,0.0,0
1971Q1,Neil Diamond,38.0,0,36.0,47,Do It,10.0,5072.996,-9.0,0
1971Q1,Jackie Moore,56.0,0,48.0,48,"Precious, Precious",6.0,5072.996,8.0,0
1971Q1,Rufus Thomas,76.0,0,49.0,49,(Do The) Push And Pull Part I,4.0,5072.996,27.0,0
1971Q1,George Harrison,1.0,0,1.0,1,My Sweet Lord/Isn't It A Pity,8.0,5072.996,0.0,0
1971Q1,Dawn,2.0,0,2.0,2,Knock Three Times,9.0,5072.996,0.0,0
1971Q1,The 5th Dimension,3.0,0,2.0,3,One Less Bell To Answer,13.0,5072.996,0.0,0
1971Q1,Santana,4.0,0,4.0,4,Black Magic Woman,10.0,5072.996,0.0,0
1971Q1,The Partridge Family Starring Shirley Jones Featuring David Cassidy,5.0,0,1.0,5,I Think I Love You,15.0,5072.996,0.0,0
1971Q1,Bee Gees,9.0,0,6.0,6,Lonely Days,7.0,5072.996,3.0,0
1971Q1,King Floyd,11.0,0,7.0,7,Groove Me,13.0,5072.996,4.0,0
1971Q1,The Supremes,8.0,0,7.0,8,Stoned Love,11.0,5072.996,0.0,0
1971Q1,Barbra Streisand,10.0,0,9.0,9,Stoney End,12.0,5072.996,1.0,0
1971Q1,Smokey Robinson & The Miracles,6.0,0,1.0,10,The Tears Of A Clown,14.0,5072.996,-4.0,0
1971Q1,Elton John,17.0,0,11.0,11,Your Song,8.0,5072.996,6.0,0
1971Q1,Perry Como,12.0,0,12.0,12,It's Impossible,10.0,5072.996,0.0,0
1971Q1,Chairman Of The Board,13.0,0,13.0,13,Pay To The Piper,10.0,5072.996,0.0,0
1971Q1,The Supremes & Four Tops,14.0,0,14.0,14,River Deep - Mountain High,8.0,5072.996,0.0,0
1971Q1,Lynn Anderson,18.0,0,15.0,15,Rose Garden,8.0,5072.996,3.0,0
1971Q1,Ray Price,16.0,0,11.0,16,For The Good Times,21.0,5072.996,0.0,0
1971Q1,Chicago,7.0,0,7.0,17,Does Anybody Really Know What Time It Is?,11.0,5072.996,-10.0,0
1971Q1,Stephen Stills,24.0,0,18.0,18,Love The One You're With,6.0,5072.996,6.0,0
1971Q1,Gladys Knight And The Pips,20.0,0,19.0,19,If I Were Your Woman,8.0,5072.996,1.0,0
1971Q1,Led Zeppelin,23.0,0,20.0,20,Immigrant Song,9.0,5072.996,3.0,0
1971Q1,Van Morrison,15.0,0,9.0,21,Domino,10.0,5072.996,-6.0,0
1971Q1,Runt,25.0,0,22.0,22,We Gotta Get You A Woman,10.0,5072.996,3.0,0
1971Q1,Three Dog Night,19.0,0,19.0,23,One Man Band,9.0,5072.996,-4.0,0
1971Q1,Rare Earth,32.0,0,24.0,24,Born To Wander,6.0,5072.996,8.0,0
1971Q1,Elvis Presley,29.0,0,25.0,25,I Really Don't Want To Know/There Goes My Everything,4.0,5072.996,4.0,0
1971Q1,Diana Ross,31.0,0,26.0,26,Remember Me,4.0,5072.996,5.0,0
1971Q1,Edwin Starr,33.0,0,27.0,27,Stop The War Now,5.0,5072.996,6.0,0
1971Q1,Redeye,28.0,0,28.0,28,Games,11.0,5072.996,0.0,0
