date,track_artist,track_lp,track_new,track_pp,track_rank,track_title,track_weeks,GDPC1
1975-02-01,Neil Sedaka,2.0,False,1.0,1,Laughter In The Rain,16.0,
1975-02-01,Ohio Players,4.0,False,2.0,2,Fire,8.0,
1975-02-01,Stevie Wonder,5.0,False,3.0,3,Boogie On Reggae Woman,12.0,
1975-02-01,Linda Ronstadt,6.0,False,4.0,4,You're No Good,9.0,
1975-02-01,AWB,10.0,False,5.0,5,Pick Up The Pieces,9.0,
1975-02-01,Carpenters,1.0,False,1.0,6,Please Mr. Postman,11.0,
1975-02-01,Barry Manilow,3.0,False,1.0,7,Mandy,12.0,
1975-02-01,Donny & Marie Osmond,8.0,False,8.0,8,Morning Side Of The Mountain,12.0,
1975-02-01,Eagles,15.0,False,9.0,9,Best Of My Love,10.0,
1975-02-01,Grand Funk,12.0,False,10.0,10,Some Kind Of Wonderful,8.0,
1975-02-01,Disco Tex & The Sex-O-Lettes Featuring Sir Monti Rock III,14.0,False,11.0,11,Get Dancin',11.0,
1975-02-01,Carol Douglas,13.0,False,12.0,12,Doctor's Orders,10.0,
1975-02-01,Gloria Gaynor,9.0,False,9.0,13,Never Can Say Goodbye,14.0,
1975-02-01,Paul Anka with Odia Coates,7.0,False,7.0,14,One Man Woman/One Woman Man,13.0,
1975-02-01,Mac Davis,16.0,False,15.0,15,Rock N' Roll (I Gave You The Best Years Of My Life),9.0,
1975-02-01,The Doobie Brothers,20.0,False,16.0,16,Black Water,7.0,
1975-02-01,John Lennon,21.0,False,17.0,17,#9 Dream,7.0,
1975-02-01,Tony Orlando & Dawn,23.0,False,18.0,18,Look In My Eyes Pretty Woman,7.0,
1975-02-01,Lynyrd Skynyrd,19.0,False,19.0,19,Free Bird,11.0,
1975-02-01,Elton John,11.0,False,1.0,20,Lucy In The Sky With Diamonds,10.0,
1975-02-01,John Denver,25.0,False,21.0,21,Sweet Surrender,6.0,
1975-02-01,Billy Preston,22.0,False,22.0,22,Struttin',8.0,
1975-02-01,Carole King,28.0,False,23.0,23,Nightingale,5.0,
1975-02-01,America,29.0,False,24.0,24,Lonely People,6.0,
1975-02-01,Jim Stafford,30.0,False,25.0,25,Your Bulldog Drinks Champagne,7.0,
1975-02-01,Cat Stevens,26.0,False,26.0,26,Ready,9.0,
1975-02-01,Styx,31.0,False,27.0,27,Lady,8.0,
1975-02-01,Frankie Valli,32.0,False,28.0,28,My Eyes Adored You,11.0,
1975-02-01,Electric Light Orchestra,33.0,False,29.0,29,Can't Get It Out Of My Head,7.0,
1975-02-01,Maria Muldaur,39.0,False,30.0,30,I'm A Woman,6.0,
1975-02-01,Love Unlimited,34.0,False,31.0,31,I Belong To You,10.0,
1975-02-01,Joni Mitchell,40.0,False,32.0,32,Big Yellow Taxi,12.0,
1975-02-01,Barry White,18.0,False,2.0,33,"You're The First, The Last, My Everything",14.0,
1975-02-01,Jethro Tull,24.0,False,12.0,34,Bungle In The Jungle,14.0,
1975-02-01,Ringo Starr,27.0,False,6.0,35,Only You,12.0,
1975-02-01,Labelle,61.0,False,36.0,36,Lady Marmalade,5.0,
1975-02-01,Bachman-Turner Overdrive,55.0,False,37.0,37,Roll On Down The Highway,3.0,
1975-02-01,George Harrison,46.0,False,38.0,38,Ding Dong; Ding Dong,4.0,
1975-02-01,Sugarloaf/Jerry Corbetta,47.0,False,39.0,39,"Don't Call Us, We'll Call You",9.0,
1975-02-01,The Temptations,41.0,False,40.0,40,Happy People,7.0,
1975-02-01,David Bowie,43.0,False,41.0,41,Changes,16.0,
1975-02-01,B.T. Express,85.0,False,42.0,42,Express,2.0,
1975-02-01,Carl Douglas,38.0,False,1.0,43,Kung Fu Fighting,17.0,
1975-02-01,Helen Reddy,36.0,False,1.0,44,Angie Baby,16.0,
1975-02-01,Billy Joel,35.0,False,34.0,45,The Entertainer,10.0,
1975-02-01,Bad Company,58.0,False,46.0,46,Movin' On,3.0,
1975-02-01,Al Martino,57.0,False,47.0,47,To The Door Of The Sun (Alle Porte Del Sole),7.0,
1975-02-01,Paul Davis,37.0,False,23.0,48,Ride 'em Cowboy,17.0,
1975-02-01,Olivia Newton-John,63.0,False,49.0,49,Have You Never Been Mellow,2.0,
1975-02-01,Ohio Players,2.0,False,1.0,1,Fire,9.0,
1975-02-01,Linda Ronstadt,4.0,False,2.0,2,You're No Good,10.0,
1975-02-01,Stevie Wonder,3.0,False,3.0,3,Boogie On Reggae Woman,13.0,
1975-02-01,AWB,5.0,False,4.0,4,Pick Up The Pieces,10.0,
1975-02-01,Eagles,9.0,False,5.0,5,Best Of My Love,11.0,
1975-02-01,Grand Funk,10.0,False,6.0,6,Some Kind Of Wonderful,9.0,
1975-02-01,The Doobie Brothers,16.0,False,7.0,7,Black Water,8.0,
1975-02-01,Neil Sedaka,1.0,False,1.0,8,Laughter In The Rain,17.0,
1975-02-01,America,24.0,False,9.0,9,Lonely People,7.0,
1975-02-01,Disco Tex & The Sex-O-Lettes Featuring Sir Monti Rock III,11.0,False,10.0,10,Get Dancin',12.0,
1975-02-01,Carol Douglas,12.0,False,11.0,11,Doctor's Orders,11.0,
1975-02-01,Frankie Valli,28.0,False,12.0,12,My Eyes Adored You,12.0,
1975-02-01,John Lennon,17.0,False,13.0,13,#9 Dream,8.0,
1975-02-01,Tony Orlando & Dawn,18.0,False,14.0,14,Look In My Eyes Pretty Woman,8.0,
1975-02-01,Carpenters,6.0,False,1.0,15,Please Mr. Postman,12.0,
1975-02-01,Barry Manilow,7.0,False,1.0,16,Mandy,13.0,
1975-02-01,John Denver,21.0,False,17.0,17,Sweet Surrender,7.0,
1975-02-01,Donny & Marie Osmond,8.0,False,8.0,18,Morning Side Of The Mountain,13.0,
1975-02-01,Carole King,23.0,False,19.0,19,Nightingale,6.0,
1975-02-01,Gloria Gaynor,13.0,False,9.0,20,Never Can Say Goodbye,15.0,
1975-02-01,Styx,27.0,False,21.0,21,Lady,9.0,
1975-02-01,Mac Davis,15.0,False,15.0,22,Rock N' Roll (I Gave You The Best Years Of My Life),10.0,
1975-02-01,Electric Light Orchestra,29.0,False,23.0,23,Can't Get It Out Of My Head,8.0,
1975-02-01,Jim Stafford,25.0,False,24.0,24,Your Bulldog Drinks Champagne,8.0,
1975-02-01,Maria Muldaur,30.0,False,25.0,25,I'm A Woman,7.0,
1975-02-01,Joni Mitchell,32.0,False,26.0,26,Big Yellow Taxi,13.0,
1975-02-01,Love Unlimited,31.0,False,27.0,27,I Belong To You,11.0,
1975-02-01,Paul Anka with Odia Coates,14.0,False,7.0,28,One Man Woman/One Woman Man,14.0,
1975-02-01,Labelle,36.0,False,29.0,29,Lady Marmalade,6.0,
1975-02-01,Bachman-Turner Overdrive,37.0,False,30.0,30,Roll On Down The Highway,4.0,
