date,track_artist,track_lp,track_new,track_pp,track_rank,track_title,track_weeks,GDPC1
2001-12-01,Mary J. Blige,1.0,False,1.0,1,Family Affair,20.0,
2001-12-01,Usher,2.0,False,2.0,2,U Got It Bad,12.0,
2001-12-01,Nickelback,4.0,False,3.0,3,How You Remind Me,14.0,
2001-12-01,Enrique Iglesias,3.0,False,3.0,4,Hero,11.0,
2001-12-01,Nelly Furtado,5.0,False,5.0,5,Turn Off The Light,17.0,
2001-12-01,Ja Rule Featuring Case,8.0,False,6.0,6,Livin' It Up,15.0,
2001-12-01,Jennifer Lopez Featuring Ja Rule,6.0,False,1.0,7,I'm Real,23.0,
2001-12-01,Ginuwine,7.0,False,4.0,8,Differences,20.0,
2001-12-01,P!nk,13.0,False,9.0,9,Get The Party Started,7.0,
2001-12-01,Alicia Keys,9.0,False,1.0,10,Fallin',26.0,
2001-12-01,'N Sync,11.0,False,11.0,11,Gone,12.0,
2001-12-01,Enya,12.0,False,10.0,12,Only Time,22.0,
2001-12-01,Destiny's Child,10.0,False,10.0,13,Emotion,11.0,
2001-12-01,Shakira,21.0,False,14.0,14,"Whenever, Wherever",7.0,
2001-12-01,Five For Fighting,16.0,False,15.0,15,Superman (It's Not Easy),15.0,
2001-12-01,Toya,18.0,False,16.0,16,I Do!!,28.0,
2001-12-01,Creed,22.0,False,17.0,17,My Sacrifice,7.0,
2001-12-01,Staind,15.0,False,5.0,18,It's Been Awhile,35.0,
2001-12-01,City High Featuring Eve,19.0,False,19.0,19,Caramel,9.0,
2001-12-01,Ja Rule Featuring Ashanti,31.0,False,20.0,20,Always On Time,4.0,
2001-12-01,Aaliyah,14.0,False,14.0,21,Rock The Boat,14.0,
2001-12-01,JAY-Z,17.0,False,17.0,22,"Girls, Girls, Girls",9.0,
2001-12-01,Nelly,23.0,False,23.0,23,#1,8.0,
2001-12-01,Aaron Tippin,24.0,False,24.0,24,Where The Stars And Stripes And The Eagle Fly,8.0,
2001-12-01,Fat Joe Featuring R. Kelly,34.0,False,25.0,25,We Thuggin',7.0,
2001-12-01,Alicia Keys,42.0,False,26.0,26,A Woman's Worth,7.0,
2001-12-01,The Calling,35.0,False,27.0,27,Wherever You Will Go,5.0,
