date,track_artist,track_lp,track_new,track_pp,track_rank,track_title,track_weeks,GDP,rank_gain/loss,recession
2008Q1,Flo Rida Featuring T-Pain,2.0,0,1.0,1,Low,9.0,15702.906,1.0,0
2008Q1,Alicia Keys,1.0,0,1.0,2,No One,16.0,15702.906,-1.0,0
2008Q1,Timbaland Featuring OneRepublic,3.0,0,2.0,3,Apologize,21.0,15702.906,0.0,0
2008Q1,Chris Brown Featuring T-Pain,4.0,0,1.0,4,Kiss Kiss,15.0,15702.906,0.0,0
2008Q1,Fergie,5.0,0,5.0,5,Clumsy,11.0,15702.906,0.0,0
2008Q1,Finger Eleven,7.0,0,6.0,6,Paralyzer,29.0,15702.906,1.0,0
2008Q1,Colbie Caillat,6.0,0,5.0,7,Bubbly,26.0,15702.906,-1.0,0
2008Q1,Jordin Sparks,8.0,0,8.0,8,Tattoo,13.0,15702.906,0.0,0
2008Q1,Sara Bareilles,16.0,0,9.0,9,Love Song,8.0,15702.906,7.0,0
2008Q1,Rihanna Featuring Ne-Yo,9.0,0,7.0,10,Hate That I Love You,17.0,15702.906,-1.0,0
2008Q1,Soulja Boy Tell'em,11.0,0,1.0,11,Crank That (Soulja Boy),24.0,15702.906,0.0,0
2008Q1,"Wyclef Jean Featuring Akon, Lil Wayne & Niia",23.0,0,12.0,12,Sweetest Girl (Dollar Bill),15.0,15702.906,11.0,0
2008Q1,Baby Bash Featuring T-Pain,12.0,0,7.0,13,Cyclone,22.0,15702.906,-1.0,0
2008Q1,Kanye West Featuring T-Pain,10.0,0,7.0,14,Good Life,15.0,15702.906,-4.0,0
2008Q1,Sean Kingston,18.0,0,15.0,15,Take You There,8.0,15702.906,3.0,0
2008Q1,Chris Brown,25.0,0,16.0,16,With You,4.0,15702.906,9.0,0
2008Q1,Plies Featuring Akon,14.0,0,14.0,17,Hypnotized,13.0,15702.906,-3.0,0
2008Q1,Natasha Bedingfield Featuring Sean Kingston,19.0,0,18.0,18,Love Like This,10.0,15702.906,1.0,0
