date,track_artist,track_lp,track_new,track_pp,track_rank,track_title,track_weeks,GDP,rank_gain/loss,recession
1980Q2,Pink Floyd,1.0,0,1.0,1,Another Brick In The Wall (Part II),12.0,6701.046,0.0,0
1980Q2,The Spinners,2.0,0,2.0,2,"Working My Way Back To You/Forgive Me, Girl",17.0,6701.046,0.0,0
1980Q2,Blondie,5.0,0,3.0,3,Call Me,8.0,6701.046,2.0,0
1980Q2,Queen,3.0,0,1.0,4,Crazy Little Thing Called Love,16.0,6701.046,-1.0,0
1980Q2,Kool & The Gang,7.0,0,5.0,5,Too Hot,12.0,6701.046,2.0,0
1980Q2,Rupert Holmes,6.0,0,6.0,6,Him,12.0,6701.046,0.0,0
1980Q2,Christopher Cross,9.0,0,7.0,7,Ride Like The Wind,8.0,6701.046,2.0,0
1980Q2,"Ray, Goodman & Brown",11.0,0,8.0,8,Special Lady,11.0,6701.046,3.0,0
1980Q2,Andy Gibb,4.0,0,4.0,9,Desire,11.0,6701.046,-5.0,0
1980Q2,Linda Ronstadt,10.0,0,10.0,10,How Do I Make You,10.0,6701.046,0.0,0
1980Q2,Eagles,13.0,0,11.0,11,I Can't Tell You Why,7.0,6701.046,2.0,0
1980Q2,Michael Jackson,14.0,0,12.0,12,Off The Wall,8.0,6701.046,2.0,0
1980Q2,Bob Seger,15.0,0,13.0,13,Fire Lake,7.0,6701.046,2.0,0
1980Q2,Shalamar,8.0,0,8.0,14,The Second Time Around,18.0,6701.046,-6.0,0
1980Q2,Billy Preston & Syreeta,17.0,0,15.0,15,With You I'm Born Again,18.0,6701.046,2.0,0
1980Q2,Air Supply,20.0,0,16.0,16,Lost In Love,9.0,6701.046,4.0,0
1980Q2,Billy Joel,23.0,0,17.0,17,You May Be Right,4.0,6701.046,6.0,0
1980Q2,Dr. Hook,22.0,0,18.0,18,Sexy Eyes,8.0,6701.046,4.0,0
1980Q2,Tommy James,19.0,0,19.0,19,Three Times In Love,11.0,6701.046,0.0,0
1980Q2,Jimmy Ruffin,25.0,0,20.0,20,Hold On To My Love,6.0,6701.046,5.0,0
1980Q2,Dan Fogelberg,12.0,0,2.0,21,Longer,17.0,6701.046,-9.0,0
1980Q2,Donna Summer,16.0,0,5.0,22,On The Radio,13.0,6701.046,-6.0,0
1980Q2,The Whispers,28.0,0,23.0,23,And The Beat Goes On,9.0,6701.046,5.0,0
1980Q2,Chuck Mangione,18.0,0,18.0,24,Give It All You Got,12.0,6701.046,-6.0,0
1980Q2,Peaches & Herb,29.0,0,25.0,25,I Pledge My Love,12.0,6701.046,4.0,0
1980Q2,Charlie Dore,31.0,0,26.0,26,Pilot Of The Airwaves,7.0,6701.046,5.0,0
