date,track_artist,track_lp,track_new,track_pp,track_rank,track_title,track_weeks,GDP,rank_gain/loss,recession
2010Q1,Ke$ha,1.0,0,1.0,1,TiK ToK,12.0,15456.059,0.0,1
2010Q1,Iyaz,4.0,0,2.0,2,Replay,19.0,15456.059,2.0,1
2010Q1,Lady Gaga,3.0,0,2.0,3,Bad Romance,9.0,15456.059,0.0,1
2010Q1,Owl City,5.0,0,1.0,4,Fireflies,19.0,15456.059,1.0,1
2010Q1,Jay-Z + Alicia Keys,2.0,0,1.0,5,Empire State Of Mind,16.0,15456.059,-3.0,1
2010Q1,Jason Derulo,7.0,0,1.0,6,Whatcha Say,20.0,15456.059,1.0,1
2010Q1,Jay Sean Featuring Lil Wayne,8.0,0,1.0,7,Down,26.0,15456.059,1.0,1
2010Q1,Miley Cyrus,19.0,0,2.0,8,Party In The U.S.A.,20.0,15456.059,11.0,1
2010Q1,David Guetta Featuring Akon,6.0,0,6.0,9,Sexy Chick,21.0,15456.059,-3.0,1
2010Q1,Jay Sean Featuring Sean Paul & Lil Jon,14.0,0,10.0,10,Do You Remember,8.0,15456.059,4.0,1
2010Q1,The Black Eyed Peas,9.0,0,7.0,11,Meet Me Halfway,15.0,15456.059,-2.0,1
2010Q1,Young Money Featuring Lloyd,12.0,0,12.0,12,BedRock,5.0,15456.059,0.0,1
2010Q1,Britney Spears,10.0,0,1.0,13,3,12.0,15456.059,-3.0,1
2010Q1,The Black Eyed Peas,20.0,0,1.0,14,I Gotta Feeling,29.0,15456.059,6.0,1
2010Q1,Lady Gaga,15.0,0,6.0,15,Paparazzi,18.0,15456.059,0.0,1
2010Q1,"Drake Featuring Kanye West, Lil Wayne & Eminem",16.0,0,8.0,16,Forever,15.0,15456.059,0.0,1
2010Q1,Justin Bieber,47.0,0,17.0,17,One Time,23.0,15456.059,30.0,1
2010Q1,Rihanna Featuring Jeezy,11.0,0,11.0,18,Hard,6.0,15456.059,-7.0,1
2010Q1,Taylor Swift,22.0,0,2.0,19,You Belong With Me,36.0,15456.059,3.0,1
2010Q1,Boys Like Girls Featuring Taylor Swift,23.0,0,20.0,20,Two Is Better Than One,10.0,15456.059,3.0,1
2010Q1,Chris Brown Featuring Lil Wayne & Swizz Beatz,24.0,0,20.0,21,I Can Transform Ya,12.0,15456.059,3.0,1
2010Q1,Lady Antebellum,21.0,0,5.0,22,Need You Now,20.0,15456.059,-1.0,1
2010Q1,Ludacris,13.0,0,13.0,23,How Low,3.0,15456.059,-10.0,1
2010Q1,Beyonce,17.0,0,10.0,24,Sweet Dreams,23.0,15456.059,-7.0,1
2010Q1,Taylor Swift,30.0,0,23.0,25,Fifteen,17.0,15456.059,5.0,1
2010Q1,New Boyz Featuring Ray J,31.0,0,26.0,26,Tie Me Down,11.0,15456.059,5.0,1
2010Q1,Cascada,28.0,0,25.0,27,Evacuate The Dancefloor,20.0,15456.059,1.0,1
2010Q1,Kelly Clarkson,18.0,0,13.0,28,Already Gone,22.0,15456.059,-10.0,1
2010Q1,Carrie Underwood,39.0,0,11.0,29,Cowboy Casanova,15.0,15456.059,10.0,1
2010Q1,Justin Bieber,60.0,0,16.0,30,One Less Lonely Girl,11.0,15456.059,30.0,1
2010Q1,"Jay-Z, Rihanna & Kanye West",37.0,0,2.0,31,Run This Town,22.0,15456.059,6.0,1
2010Q1,Kris Allen,33.0,0,32.0,32,Live Like We're Dying,9.0,15456.059,1.0,1
2010Q1,Birdman Featuring Lil Wayne & Drake,26.0,0,26.0,33,Money To Blow,12.0,15456.059,-7.0,1
2010Q1,Train,32.0,0,32.0,34,"Hey, Soul Sister",13.0,15456.059,-2.0,1
2010Q1,Kings Of Leon,25.0,0,4.0,35,Use Somebody,48.0,15456.059,-10.0,1
2010Q1,Orianthi,41.0,0,36.0,36,According To You,4.0,15456.059,5.0,1
2010Q1,Lady Gaga Featuring Beyonce,38.0,0,30.0,37,Telephone,5.0,15456.059,1.0,1
2010Q1,Colbie Caillat,44.0,0,12.0,38,Fallin' For You,26.0,15456.059,6.0,1
2010Q1,Selena Gomez & The Scene,0.0,1,39.0,39,Naturally,1.0,15456.059,-39.0,1
2010Q1,Shakira Featuring Lil Wayne,40.0,0,29.0,40,Give It Up To Me,7.0,15456.059,0.0,1
2010Q1,Snoop Dogg Featuring The-Dream,35.0,0,35.0,41,Gangsta Luv,10.0,15456.059,-6.0,1
2010Q1,Trey Songz Featuring Fabolous,34.0,0,34.0,42,Say Aah,7.0,15456.059,-8.0,1
2010Q1,Rihanna,53.0,0,9.0,43,Russian Roulette,10.0,15456.059,10.0,1
2010Q1,Uncle Kracker,54.0,0,44.0,44,Smile,21.0,15456.059,10.0,1
2010Q1,Jesse McCartney Featuring T-Pain,80.0,0,35.0,45,Body Language,13.0,15456.059,35.0,1
2010Q1,50 Cent Featuring Ne-Yo,36.0,0,28.0,46,Baby By Me,9.0,15456.059,-10.0,1
2010Q1,Shinedown,46.0,0,42.0,47,If You Only Knew,9.0,15456.059,-1.0,1
2010Q1,Young Money Featuring Gucci Mane,0.0,1,48.0,48,Steady Mobbin',1.0,15456.059,-48.0,1
2010Q1,Miranda Lambert,52.0,0,38.0,49,White Liar,11.0,15456.059,3.0,1
2010Q1,Ke$ha,1.0,0,1.0,1,TiK ToK,13.0,15456.059,0.0,1
2010Q1,Lady Gaga,3.0,0,2.0,2,Bad Romance,10.0,15456.059,1.0,1
2010Q1,Iyaz,2.0,0,2.0,3,Replay,20.0,15456.059,-1.0,1
2010Q1,Jay-Z + Alicia Keys,5.0,0,1.0,4,Empire State Of Mind,17.0,15456.059,1.0,1
2010Q1,Owl City,4.0,0,1.0,5,Fireflies,20.0,15456.059,-1.0,1
2010Q1,David Guetta Featuring Akon,9.0,0,6.0,6,Sexy Chick,22.0,15456.059,3.0,1
2010Q1,Jay Sean Featuring Lil Wayne,7.0,0,1.0,7,Down,27.0,15456.059,0.0,1
2010Q1,Jason Derulo,6.0,0,1.0,8,Whatcha Say,21.0,15456.059,-2.0,1
2010Q1,The Black Eyed Peas,14.0,0,1.0,9,I Gotta Feeling,30.0,15456.059,5.0,1
2010Q1,Miley Cyrus,8.0,0,2.0,10,Party In The U.S.A.,21.0,15456.059,-2.0,1
2010Q1,Jay Sean Featuring Sean Paul & Lil Jon,10.0,0,10.0,11,Do You Remember,9.0,15456.059,-1.0,1
2010Q1,Young Money Featuring Lloyd,12.0,0,12.0,12,BedRock,6.0,15456.059,0.0,1
2010Q1,The Black Eyed Peas,11.0,0,7.0,13,Meet Me Halfway,16.0,15456.059,-2.0,1
2010Q1,Lady Gaga,15.0,0,6.0,14,Paparazzi,19.0,15456.059,1.0,1
2010Q1,Rihanna Featuring Jeezy,18.0,0,11.0,15,Hard,7.0,15456.059,3.0,1
2010Q1,Britney Spears,13.0,0,1.0,16,3,13.0,15456.059,-3.0,1
2010Q1,Taylor Swift,19.0,0,2.0,17,You Belong With Me,37.0,15456.059,2.0,1
2010Q1,Lil Wayne Featuring Eminem,0.0,1,18.0,18,Drop The World,1.0,15456.059,-18.0,1
2010Q1,"Drake Featuring Kanye West, Lil Wayne & Eminem",16.0,0,8.0,19,Forever,16.0,15456.059,-3.0,1
2010Q1,Lady Antebellum,22.0,0,5.0,20,Need You Now,21.0,15456.059,2.0,1
2010Q1,Ludacris,23.0,0,13.0,21,How Low,4.0,15456.059,2.0,1
2010Q1,Beyonce,24.0,0,10.0,22,Sweet Dreams,24.0,15456.059,2.0,1
2010Q1,Boys Like Girls Featuring Taylor Swift,20.0,0,20.0,23,Two Is Better Than One,11.0,15456.059,-3.0,1
2010Q1,Justin Bieber,17.0,0,17.0,24,One Time,24.0,15456.059,-7.0,1
2010Q1,Kings Of Leon,35.0,0,4.0,25,Use Somebody,49.0,15456.059,10.0,1
2010Q1,Kelly Clarkson,28.0,0,13.0,26,Already Gone,23.0,15456.059,2.0,1
2010Q1,Cascada,27.0,0,25.0,27,Evacuate The Dancefloor,21.0,15456.059,0.0,1
2010Q1,Taylor Swift,25.0,0,23.0,28,Fifteen,18.0,15456.059,-3.0,1
2010Q1,Train,34.0,0,29.0,29,"Hey, Soul Sister",14.0,15456.059,5.0,1
2010Q1,Kris Allen,32.0,0,30.0,30,Live Like We're Dying,10.0,15456.059,2.0,1
2010Q1,Chris Brown Featuring Lil Wayne & Swizz Beatz,21.0,0,20.0,31,I Can Transform Ya,13.0,15456.059,-10.0,1
2010Q1,New Boyz Featuring Ray J,26.0,0,26.0,32,Tie Me Down,12.0,15456.059,-6.0,1
2010Q1,Orianthi,36.0,0,33.0,33,According To You,5.0,15456.059,3.0,1
2010Q1,"Jay-Z, Rihanna & Kanye West",31.0,0,2.0,34,Run This Town,23.0,15456.059,-3.0,1
2010Q1,Carrie Underwood,29.0,0,11.0,35,Cowboy Casanova,16.0,15456.059,-6.0,1
2010Q1,Birdman Featuring Lil Wayne & Drake,33.0,0,26.0,36,Money To Blow,13.0,15456.059,-3.0,1
2010Q1,Lady Gaga Featuring Beyonce,37.0,0,30.0,37,Telephone,6.0,15456.059,0.0,1
2010Q1,Colbie Caillat,38.0,0,12.0,38,Fallin' For You,27.0,15456.059,0.0,1
2010Q1,Justin Bieber,30.0,0,16.0,39,One Less Lonely Girl,12.0,15456.059,-9.0,1
2010Q1,Trey Songz Featuring Fabolous,42.0,0,34.0,40,Say Aah,8.0,15456.059,2.0,1
2010Q1,Snoop Dogg Featuring The-Dream,41.0,0,35.0,41,Gangsta Luv,11.0,15456.059,0.0,1
2010Q1,Selena Gomez & The Scene,39.0,0,39.0,42,Naturally,2.0,15456.059,-3.0,1
2010Q1,Uncle Kracker,44.0,0,43.0,43,Smile,22.0,15456.059,1.0,1
2010Q1,Shakira Featuring Lil Wayne,40.0,0,29.0,44,Give It Up To Me,8.0,15456.059,-4.0,1
2010Q1,Shinedown,47.0,0,42.0,45,If You Only Knew,10.0,15456.059,2.0,1
2010Q1,The Black Eyed Peas,66.0,0,46.0,46,Imma Be,5.0,15456.059,20.0,1
2010Q1,Miranda Lambert,49.0,0,38.0,47,White Liar,12.0,15456.059,2.0,1
2010Q1,50 Cent Featuring Ne-Yo,46.0,0,28.0,48,Baby By Me,10.0,15456.059,-2.0,1
2010Q1,Jason Aldean,54.0,0,47.0,49,The Truth,9.0,15456.059,5.0,1
2010Q1,Ke$ha,1.0,0,1.0,1,TiK ToK,14.0,15456.059,0.0,1
2010Q1,Lady Gaga,2.0,0,2.0,2,Bad Romance,11.0,15456.059,0.0,1
2010Q1,Jay-Z + Alicia Keys,4.0,0,1.0,3,Empire State Of Mind,18.0,15456.059,1.0,1
2010Q1,Iyaz,3.0,0,2.0,4,Replay,21.0,15456.059,-1.0,1
2010Q1,Owl City,5.0,0,1.0,5,Fireflies,21.0,15456.059,0.0,1
2010Q1,David Guetta Featuring Akon,6.0,0,6.0,6,Sexy Chick,23.0,15456.059,0.0,1
2010Q1,Ke$ha Featuring 3OH!3,0.0,1,7.0,7,Blah Blah Blah,1.0,15456.059,-7.0,1
2010Q1,Young Money Featuring Lloyd,12.0,0,8.0,8,BedRock,7.0,15456.059,4.0,1
2010Q1,Rihanna Featuring Jeezy,15.0,0,9.0,9,Hard,8.0,15456.059,6.0,1
2010Q1,Jay Sean Featuring Lil Wayne,7.0,0,1.0,10,Down,28.0,15456.059,-3.0,1
2010Q1,Jason Derulo,8.0,0,1.0,11,Whatcha Say,22.0,15456.059,-3.0,1
2010Q1,The Black Eyed Peas,9.0,0,1.0,12,I Gotta Feeling,31.0,15456.059,-3.0,1
2010Q1,Jay Sean Featuring Sean Paul & Lil Jon,11.0,0,10.0,13,Do You Remember,10.0,15456.059,-2.0,1
2010Q1,Ludacris,21.0,0,13.0,14,How Low,5.0,15456.059,7.0,1
2010Q1,Britney Spears,16.0,0,1.0,15,3,14.0,15456.059,1.0,1
2010Q1,Taylor Swift,17.0,0,2.0,16,You Belong With Me,38.0,15456.059,1.0,1
2010Q1,Miley Cyrus,10.0,0,2.0,17,Party In The U.S.A.,22.0,15456.059,-7.0,1
2010Q1,"Drake Featuring Kanye West, Lil Wayne & Eminem",19.0,0,8.0,18,Forever,17.0,15456.059,1.0,1
2010Q1,Lady Antebellum,20.0,0,5.0,19,Need You Now,22.0,15456.059,1.0,1
2010Q1,Lil Wayne Featuring Eminem,18.0,0,18.0,20,Drop The World,2.0,15456.059,-2.0,1
2010Q1,The Black Eyed Peas,13.0,0,7.0,21,Meet Me Halfway,17.0,15456.059,-8.0,1
2010Q1,Lady Gaga,14.0,0,6.0,22,Paparazzi,20.0,15456.059,-8.0,1
2010Q1,Train,29.0,0,23.0,23,"Hey, Soul Sister",15.0,15456.059,6.0,1
2010Q1,Boys Like Girls Featuring Taylor Swift,23.0,0,20.0,24,Two Is Better Than One,12.0,15456.059,-1.0,1
2010Q1,Kelly Clarkson,26.0,0,13.0,25,Already Gone,24.0,15456.059,1.0,1
2010Q1,Orianthi,33.0,0,26.0,26,According To You,6.0,15456.059,7.0,1
2010Q1,Ke$ha,0.0,1,27.0,27,Your Love Is My Drug,1.0,15456.059,-27.0,1
2010Q1,Trey Songz Featuring Fabolous,40.0,0,28.0,28,Say Aah,9.0,15456.059,12.0,1
2010Q1,Kings Of Leon,25.0,0,4.0,29,Use Somebody,50.0,15456.059,-4.0,1
2010Q1,Beyonce,22.0,0,10.0,30,Sweet Dreams,25.0,15456.059,-8.0,1
2010Q1,Lady Gaga Featuring Beyonce,37.0,0,30.0,31,Telephone,7.0,15456.059,6.0,1
2010Q1,New Boyz Featuring Ray J,32.0,0,26.0,32,Tie Me Down,13.0,15456.059,0.0,1
2010Q1,Kris Allen,30.0,0,30.0,33,Live Like We're Dying,11.0,15456.059,-3.0,1
2010Q1,The Black Eyed Peas,46.0,0,34.0,34,Imma Be,6.0,15456.059,12.0,1
2010Q1,Cascada,27.0,0,25.0,35,Evacuate The Dancefloor,22.0,15456.059,-8.0,1
2010Q1,Selena Gomez & The Scene,42.0,0,36.0,36,Naturally,3.0,15456.059,6.0,1
2010Q1,Taylor Swift,28.0,0,23.0,37,Fifteen,19.0,15456.059,-9.0,1
2010Q1,Birdman Featuring Lil Wayne & Drake,36.0,0,26.0,38,Money To Blow,14.0,15456.059,-2.0,1
2010Q1,Colbie Caillat,38.0,0,12.0,39,Fallin' For You,28.0,15456.059,-1.0,1
2010Q1,Snoop Dogg Featuring The-Dream,41.0,0,35.0,40,Gangsta Luv,12.0,15456.059,1.0,1
2010Q1,Timbaland Featuring Justin Timberlake,61.0,0,31.0,41,Carry Out,6.0,15456.059,20.0,1
2010Q1,Justin Bieber,24.0,0,17.0,42,One Time,25.0,15456.059,-18.0,1
2010Q1,Carrie Underwood,35.0,0,11.0,43,Cowboy Casanova,17.0,15456.059,-8.0,1
2010Q1,Jason Derulo,50.0,0,44.0,44,In My Head,5.0,15456.059,6.0,1
2010Q1,Chris Brown Featuring Lil Wayne & Swizz Beatz,31.0,0,20.0,45,I Can Transform Ya,14.0,15456.059,-14.0,1
2010Q1,Jason Aldean,49.0,0,46.0,46,The Truth,10.0,15456.059,3.0,1
2010Q1,Uncle Kracker,43.0,0,43.0,47,Smile,23.0,15456.059,-4.0,1
2010Q1,Justin Bieber,39.0,0,16.0,48,One Less Lonely Girl,13.0,15456.059,-9.0,1
2010Q1,Alicia Keys,55.0,0,27.0,49,Try Sleeping With A Broken Heart,8.0,15456.059,6.0,1
2010Q1,Ke$ha,1.0,0,1.0,1,TiK ToK,15.0,15456.059,0.0,1
2010Q1,Lady Gaga,2.0,0,2.0,2,Bad Romance,12.0,15456.059,0.0,1
2010Q1,Jay-Z + Alicia Keys,3.0,0,1.0,3,Empire State Of Mind,19.0,15456.059,0.0,1
2010Q1,Young Money Featuring Lloyd,8.0,0,4.0,4,BedRock,8.0,15456.059,4.0,1
2010Q1,Iyaz,4.0,0,2.0,5,Replay,22.0,15456.059,-1.0,1
2010Q1,David Guetta Featuring Akon,6.0,0,6.0,6,Sexy Chick,24.0,15456.059,0.0,1
2010Q1,Train,23.0,0,7.0,7,"Hey, Soul Sister",16.0,15456.059,16.0,1
2010Q1,Rihanna Featuring Jeezy,9.0,0,8.0,8,Hard,9.0,15456.059,1.0,1
2010Q1,Owl City,5.0,0,1.0,9,Fireflies,22.0,15456.059,-4.0,1
2010Q1,Ludacris,14.0,0,10.0,10,How Low,6.0,15456.059,4.0,1
2010Q1,The Black Eyed Peas,12.0,0,1.0,11,I Gotta Feeling,32.0,15456.059,1.0,1
2010Q1,Ke$ha Featuring 3OH!3,7.0,0,7.0,12,Blah Blah Blah,2.0,15456.059,-5.0,1
2010Q1,Jay Sean Featuring Sean Paul & Lil Jon,13.0,0,10.0,13,Do You Remember,11.0,15456.059,0.0,1
2010Q1,Jason Derulo,11.0,0,1.0,14,Whatcha Say,23.0,15456.059,-3.0,1
2010Q1,The Black Eyed Peas,34.0,0,15.0,15,Imma Be,7.0,15456.059,19.0,1
2010Q1,Jay Sean Featuring Lil Wayne,10.0,0,1.0,16,Down,29.0,15456.059,-6.0,1
2010Q1,Lady Antebellum,19.0,0,5.0,17,Need You Now,23.0,15456.059,2.0,1
2010Q1,Boys Like Girls Featuring Taylor Swift,24.0,0,18.0,18,Two Is Better Than One,13.0,15456.059,6.0,1
2010Q1,Trey Songz Featuring Fabolous,28.0,0,19.0,19,Say Aah,10.0,15456.059,9.0,1
2010Q1,Lady Gaga Featuring Beyonce,31.0,0,20.0,20,Telephone,8.0,15456.059,11.0,1
2010Q1,Orianthi,26.0,0,21.0,21,According To You,7.0,15456.059,5.0,1
2010Q1,Taylor Swift,16.0,0,2.0,22,You Belong With Me,39.0,15456.059,-6.0,1
